Event,Season,Sex,Medal,Age,Height,Weight,Year
Alpine Skiing Women's Combined,Winter,F,Bronze,24.0,169.0,66.5,2000
Alpine Skiing Women's Downhill,Winter,F,Bronze,24.0,168.0,66.0,1992
Alpine Skiing Women's Giant Slalom,Winter,F,Bronze,24.0,168.0,64.0,1991
Alpine Skiing Women's Slalom,Winter,F,Bronze,23.0,168.0,61.0,1988
Alpine Skiing Women's Super G,Winter,F,Bronze,23.5,168.0,63.0,2000
Archery Women's Individual,Summer,F,Bronze,23.0,167.0,61.0,1996
Archery Women's Team,Summer,F,Bronze,23.0,166.5,60.0,2002
"Athletics Women's 1,500 metres",Summer,F,Bronze,27.0,168.0,55.5,1994
Athletics Women's 10 kilometres Walk,Summer,F,Bronze,23.5,170.0,56.0,1994
"Athletics Women's 10,000 metres",Summer,F,Bronze,31.0,161.0,48.0,2000
Athletics Women's 100 metres,Summer,F,Bronze,23.0,170.5,58.0,1974
Athletics Women's 100 metres Hurdles,Summer,F,Bronze,28.0,167.0,57.0,1992
Athletics Women's 20 kilometres Walk,Summer,F,Bronze,24.0,160.0,45.0,2008
Athletics Women's 200 metres,Summer,F,Bronze,24.0,170.0,60.0,1982
"Athletics Women's 3,000 metres",Summer,F,Bronze,24.0,170.0,50.0,1988
"Athletics Women's 3,000 metres Steeplechase",Summer,F,Bronze,25.0,167.0,54.0,2012
Athletics Women's 4 x 100 metres Relay,Summer,F,Bronze,23.0,168.0,60.0,1982
Athletics Women's 4 x 400 metres Relay,Summer,F,Bronze,25.0,170.0,58.5,1996
Athletics Women's 400 metres,Summer,F,Bronze,23.0,173.0,61.5,1990
Athletics Women's 400 metres Hurdles,Summer,F,Bronze,25.0,174.0,63.0,2000
"Athletics Women's 5,000 metres",Summer,F,Bronze,24.5,166.0,48.5,2006
Athletics Women's 80 metres Hurdles,Summer,F,Bronze,23.5,166.5,58.5,1954
Athletics Women's 800 metres,Summer,F,Bronze,28.0,166.0,55.0,1986
Athletics Women's Discus Throw,Summer,F,Bronze,29.0,178.0,84.0,1980
Athletics Women's Hammer Throw,Summer,F,Bronze,23.0,172.0,78.0,2008
Athletics Women's Heptathlon,Summer,F,Bronze,27.0,176.0,64.0,2000
Athletics Women's High Jump,Summer,F,Bronze,26.0,178.5,62.0,1982
Athletics Women's Javelin Throw,Summer,F,Bronze,23.0,173.0,72.0,1980
Athletics Women's Long Jump,Summer,F,Bronze,26.0,171.0,59.5,1982
Athletics Women's Marathon,Summer,F,Bronze,29.0,162.0,47.0,2000
Athletics Women's Pentathlon,Summer,F,Bronze,23.0,170.0,65.0,1972
Athletics Women's Pole Vault,Summer,F,Bronze,23.0,174.0,64.0,2008
Athletics Women's Shot Put,Summer,F,Bronze,27.0,175.0,90.5,1982
Athletics Women's Triple Jump,Summer,F,Bronze,28.5,175.5,61.5,2006
Badminton Mixed Doubles,Summer,F,Bronze,27.0,172.0,63.0,2006
Badminton Women's Doubles,Summer,F,Bronze,24.5,171.0,60.0,2004
Badminton Women's Singles,Summer,F,Bronze,23.0,171.0,65.0,2004
Basketball Women's Basketball,Summer,F,Bronze,25.0,183.5,73.0,1996
Beach Volleyball Women's Beach Volleyball,Summer,F,Bronze,30.5,182.0,70.0,2006
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Winter,F,Bronze,25.5,162.5,57.5,2014
Biathlon Women's 10 kilometres Pursuit,Winter,F,Bronze,28.0,168.5,55.0,2008
Biathlon Women's 12.5 kilometres Mass Start,Winter,F,Bronze,30.0,163.0,57.0,2010
Biathlon Women's 15 kilometres,Winter,F,Bronze,27.0,163.0,57.0,2002
Biathlon Women's 3 x 7.5 kilometres Relay,Winter,F,Bronze,26.0,167.0,55.0,1992
Biathlon Women's 4 x 6 kilometres Relay,Winter,F,Bronze,30.0,167.0,56.0,2010
Biathlon Women's 4 x 7.5 kilometres Relay,Winter,F,Bronze,25.5,169.0,57.5,1998
Biathlon Women's 7.5 kilometres Sprint,Winter,F,Bronze,26.0,166.0,57.0,2002
Bobsleigh Women's Two,Winter,F,Bronze,28.5,174.0,76.5,2008
Boxing Women's Flyweight,Summer,F,Bronze,27.5,160.0,51.0,2014
Boxing Women's Lightweight,Summer,F,Bronze,26.5,166.0,60.0,2014
Boxing Women's Middleweight,Summer,F,Bronze,26.0,176.0,75.0,2016
"Canoeing Women's Kayak Doubles, 500 metres",Summer,F,Bronze,26.0,169.0,66.5,1988
"Canoeing Women's Kayak Fours, 500 metres",Summer,F,Bronze,25.0,172.0,67.0,2000
"Canoeing Women's Kayak Singles, 200 metres",Summer,F,Bronze,31.5,170.0,65.5,2014
"Canoeing Women's Kayak Singles, 500 metres",Summer,F,Bronze,26.0,170.0,66.0,1988
"Canoeing Women's Kayak Singles, Slalom",Summer,F,Bronze,29.0,169.0,56.0,2004
Cross Country Skiing Women's 10 kilometres,Winter,F,Bronze,32.0,165.0,58.0,1980
Cross Country Skiing Women's 15 kilometres,Winter,F,Bronze,26.5,165.5,54.5,1996
Cross Country Skiing Women's 15 km Skiathlon,Winter,F,Bronze,28.0,165.5,57.5,2008
Cross Country Skiing Women's 20 kilometres,Winter,F,Bronze,27.5,169.0,56.0,1986
Cross Country Skiing Women's 3 x 5 kilometres Relay,Winter,F,Bronze,28.5,163.5,54.0,1966
Cross Country Skiing Women's 30 kilometres,Winter,F,Bronze,31.0,169.0,58.0,2002
Cross Country Skiing Women's 4 x 5 kilometres Relay,Winter,F,Bronze,28.0,170.0,58.0,1994
Cross Country Skiing Women's 5 kilometres,Winter,F,Bronze,26.5,162.0,56.5,1982
Cross Country Skiing Women's 5/10 kilometres Pursuit,Winter,F,Bronze,24.0,164.0,54.0,1994
Cross Country Skiing Women's 5/5 kilometres Pursuit,Winter,F,Bronze,25.0,167.0,61.0,2002
Cross Country Skiing Women's Sprint,Winter,F,Bronze,29.0,170.0,62.5,2008
Cross Country Skiing Women's Team Sprint,Winter,F,Bronze,27.5,172.0,63.0,2010
Curling Women's Curling,Winter,F,Bronze,30.0,165.0,62.0,2006
Cycling Women's 500 metres Time Trial,Summer,F,Bronze,26.5,173.5,75.5,2002
Cycling Women's BMX,Summer,F,Bronze,25.0,170.0,65.0,2012
"Cycling Women's Individual Pursuit, 3,000 metres",Summer,F,Bronze,29.0,170.0,59.0,2000
