Event,Season,Sex,Medal,Age,Height,Weight,Year
Alpine Skiing Women's Combined,Winter,F,Gold,23.5,173.0,72.0,2000
Alpine Skiing Women's Downhill,Winter,F,Gold,25.0,170.5,64.0,1990
Alpine Skiing Women's Giant Slalom,Winter,F,Gold,21.0,168.0,64.0,1988
Alpine Skiing Women's Slalom,Winter,F,Gold,22.0,170.0,62.0,1984
Alpine Skiing Women's Super G,Winter,F,Gold,25.0,167.0,63.0,2000
Archery Women's Individual,Summer,F,Gold,23.5,167.0,61.5,1994
Archery Women's Team,Summer,F,Gold,21.0,167.0,59.0,2004
"Athletics Women's 1,500 metres",Summer,F,Gold,26.5,162.5,50.0,1994
Athletics Women's 10 kilometres Walk,Summer,F,Gold,27.0,161.5,54.0,1994
"Athletics Women's 10,000 metres",Summer,F,Gold,25.5,163.5,47.5,2002
Athletics Women's 100 metres,Summer,F,Gold,22.5,169.5,57.0,1974
Athletics Women's 100 metres Hurdles,Summer,F,Gold,25.5,167.5,60.0,1994
Athletics Women's 20 kilometres Walk,Summer,F,Gold,23.0,160.0,47.0,2008
Athletics Women's 200 metres,Summer,F,Gold,24.0,170.0,59.0,1982
"Athletics Women's 3,000 metres",Summer,F,Gold,29.0,168.0,54.0,1988
"Athletics Women's 3,000 metres Steeplechase",Summer,F,Gold,26.0,175.0,54.0,2012
Athletics Women's 4 x 100 metres Relay,Summer,F,Gold,23.0,168.0,58.0,1982
Athletics Women's 4 x 400 metres Relay,Summer,F,Gold,25.0,170.0,58.0,1996
Athletics Women's 400 metres,Summer,F,Gold,24.5,171.0,60.0,1990
Athletics Women's 400 metres Hurdles,Summer,F,Gold,26.0,173.0,58.0,2000
"Athletics Women's 5,000 metres",Summer,F,Gold,26.0,159.0,42.0,2006
Athletics Women's 80 metres Hurdles,Summer,F,Gold,26.0,171.0,57.0,1956
Athletics Women's 800 metres,Summer,F,Gold,25.0,169.0,57.0,1986
Athletics Women's Discus Throw,Summer,F,Gold,27.0,180.0,85.0,1976
Athletics Women's Hammer Throw,Summer,F,Gold,28.0,180.0,85.0,2008
Athletics Women's Heptathlon,Summer,F,Gold,26.0,178.0,68.0,2000
Athletics Women's High Jump,Summer,F,Gold,25.5,179.5,61.5,1978
Athletics Women's Javelin Throw,Summer,F,Gold,25.0,171.0,70.5,1978
Athletics Women's Long Jump,Summer,F,Gold,25.0,171.5,61.0,1982
Athletics Women's Marathon,Summer,F,Gold,28.0,160.0,48.0,2000
Athletics Women's Pentathlon,Summer,F,Gold,26.0,173.0,71.0,1972
Athletics Women's Pole Vault,Summer,F,Gold,26.0,174.0,64.0,2008
Athletics Women's Shot Put,Summer,F,Gold,25.5,180.0,93.5,1982
Athletics Women's Triple Jump,Summer,F,Gold,28.5,175.5,62.5,2006
Badminton Mixed Doubles,Summer,F,Gold,25.0,169.0,61.0,2008
Badminton Women's Doubles,Summer,F,Gold,24.5,169.0,62.0,2006
Badminton Women's Singles,Summer,F,Gold,23.0,175.0,65.0,2008
Basketball Women's Basketball,Summer,F,Gold,26.0,185.0,74.0,1996
Beach Volleyball Women's Beach Volleyball,Summer,F,Gold,29.5,181.0,72.0,2006
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Winter,F,Gold,27.5,164.5,57.5,2014
Biathlon Women's 10 kilometres Pursuit,Winter,F,Gold,26.5,167.0,58.0,2008
Biathlon Women's 12.5 kilometres Mass Start,Winter,F,Gold,27.0,166.0,58.0,2010
Biathlon Women's 15 kilometres,Winter,F,Gold,24.0,165.0,56.0,2002
Biathlon Women's 3 x 7.5 kilometres Relay,Winter,F,Gold,23.0,174.0,52.0,1992
Biathlon Women's 4 x 6 kilometres Relay,Winter,F,Gold,28.0,165.5,58.0,2010
Biathlon Women's 4 x 7.5 kilometres Relay,Winter,F,Gold,26.5,166.0,59.0,1998
Biathlon Women's 7.5 kilometres Sprint,Winter,F,Gold,25.0,173.0,60.0,2002
Bobsleigh Women's Two,Winter,F,Gold,28.0,170.0,74.5,2008
Boxing Women's Flyweight,Summer,F,Gold,31.0,164.0,51.0,2014
Boxing Women's Lightweight,Summer,F,Gold,24.5,166.5,60.0,2014
Boxing Women's Middleweight,Summer,F,Gold,19.0,175.0,75.0,2014
"Canoeing Women's Kayak Doubles, 500 metres",Summer,F,Gold,25.5,172.0,67.5,1988
"Canoeing Women's Kayak Fours, 500 metres",Summer,F,Gold,26.0,173.0,65.0,2000
