Event,Season,Sex,Medal,Age,Height,Weight,Year
Alpine Skiing Women's Combined,Winter,F,Silver,25.0,168.0,66.0,1998
Alpine Skiing Women's Downhill,Winter,F,Silver,22.5,169.0,65.0,1990
Alpine Skiing Women's Giant Slalom,Winter,F,Silver,24.0,167.0,60.0,1988
Alpine Skiing Women's Slalom,Winter,F,Silver,22.5,168.5,62.0,1990
Alpine Skiing Women's Super G,Winter,F,Silver,24.0,172.0,72.5,2000
Archery Women's Individual,Summer,F,Silver,22.5,168.0,64.5,1994
Archery Women's Team,Summer,F,Silver,26.0,169.0,63.0,2002
"Athletics Women's 1,500 metres",Summer,F,Silver,27.5,167.0,52.5,1994
Athletics Women's 10 kilometres Walk,Summer,F,Silver,27.0,166.0,57.0,1994
"Athletics Women's 10,000 metres",Summer,F,Silver,25.5,160.0,46.0,2002
Athletics Women's 100 metres,Summer,F,Silver,23.0,165.0,59.0,1980
Athletics Women's 100 metres Hurdles,Summer,F,Silver,25.5,170.0,61.5,1994
Athletics Women's 20 kilometres Walk,Summer,F,Silver,28.0,162.0,50.0,2008
Athletics Women's 200 metres,Summer,F,Silver,22.0,168.0,57.0,1984
"Athletics Women's 3,000 metres",Summer,F,Silver,25.0,168.0,54.0,1988
"Athletics Women's 3,000 metres Steeplechase",Summer,F,Silver,26.0,164.0,48.0,2012
Athletics Women's 4 x 100 metres Relay,Summer,F,Silver,23.0,167.0,58.0,1984
Athletics Women's 4 x 400 metres Relay,Summer,F,Silver,25.0,170.0,59.0,1996
Athletics Women's 400 metres,Summer,F,Silver,24.5,170.0,59.5,1990
Athletics Women's 400 metres Hurdles,Summer,F,Silver,28.0,171.0,60.0,2000
"Athletics Women's 5,000 metres",Summer,F,Silver,26.0,158.5,42.0,2006
Athletics Women's 80 metres Hurdles,Summer,F,Silver,24.0,167.0,60.0,1954
Athletics Women's 800 metres,Summer,F,Silver,23.5,167.0,56.0,1986
Athletics Women's Discus Throw,Summer,F,Silver,25.0,175.0,86.0,1980
Athletics Women's Hammer Throw,Summer,F,Silver,27.0,176.0,78.0,2008
Athletics Women's Heptathlon,Summer,F,Silver,24.0,175.0,65.0,2000
Athletics Women's High Jump,Summer,F,Silver,23.0,177.0,60.0,1974
Athletics Women's Javelin Throw,Summer,F,Silver,26.5,170.5,69.0,1978
Athletics Women's Long Jump,Summer,F,Silver,25.0,171.0,60.5,1982
Athletics Women's Marathon,Summer,F,Silver,30.0,160.0,47.0,2000
Athletics Women's Pentathlon,Summer,F,Silver,25.0,175.0,68.0,1972
Athletics Women's Pole Vault,Summer,F,Silver,24.0,173.0,62.0,2008
Athletics Women's Shot Put,Summer,F,Silver,28.0,176.0,90.0,1984
Athletics Women's Triple Jump,Summer,F,Silver,27.0,174.0,64.5,2006
Badminton Mixed Doubles,Summer,F,Silver,25.5,166.5,59.5,2006
Badminton Women's Doubles,Summer,F,Silver,25.5,170.0,63.5,2006
Badminton Women's Singles,Summer,F,Silver,24.0,176.0,65.0,2006
Basketball Women's Basketball,Summer,F,Silver,25.0,182.0,71.5,1996
Beach Volleyball Women's Beach Volleyball,Summer,F,Silver,30.0,180.0,67.0,2008
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Winter,F,Silver,24.5,168.0,59.0,2014
Biathlon Women's 10 kilometres Pursuit,Winter,F,Silver,25.5,169.5,58.0,2008
Biathlon Women's 12.5 kilometres Mass Start,Winter,F,Silver,29.0,170.0,62.0,2010
Biathlon Women's 15 kilometres,Winter,F,Silver,26.0,162.0,52.0,2002
Biathlon Women's 3 x 7.5 kilometres Relay,Winter,F,Silver,23.0,173.0,66.0,1992
Biathlon Women's 4 x 6 kilometres Relay,Winter,F,Silver,28.5,168.0,57.5,2010
Biathlon Women's 4 x 7.5 kilometres Relay,Winter,F,Silver,25.5,172.0,60.0,1998
