Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Alpine Skiing Women's Combined,Winter,F,Gold,125020.5,63093.0,22.5,173.0,72.0,1996.0
Alpine Skiing Women's Downhill,Winter,F,Gold,135593.0,68224.0,24.0,170.5,64.0,1984.0
Alpine Skiing Women's Giant Slalom,Winter,F,Gold,153585.0,77079.0,21.0,168.0,64.0,1984.0
Alpine Skiing Women's Slalom,Winter,F,Gold,126248.0,63673.0,22.0,170.0,62.0,1982.0
Alpine Skiing Women's Super G,Winter,F,Gold,68709.5,35063.5,25.0,167.0,63.0,2000.0
Alpinism Mixed Alpinism,Summer,F,Gold,60641.0,31057.0,43.0,,,1936.0
Archery Women's Double Columbia Round,Summer,F,Gold,99506.0,50366.0,44.0,,,1904.0
Archery Women's Double National Round,Summer,F,Gold,134878.5,67956.5,48.5,,,1906.0
Archery Women's Individual,Summer,F,Gold,162445.5,81590.0,23.5,167.0,61.5,1994.0
Archery Women's Team,Summer,F,Gold,119093.0,60274.0,21.0,167.0,59.0,2002.0
Archery Women's Team Round,Summer,F,Gold,214042.5,107413.5,58.0,,,1904.0
"Art Competitions Mixed Literature, Lyric Works",Summer,F,Gold,245549.0,122961.0,34.0,,,1948.0
"Athletics Women's 1,500 metres",Summer,F,Gold,109633.0,55508.5,26.5,162.5,50.0,1994.0
Athletics Women's 10 kilometres Walk,Summer,F,Gold,105591.5,53294.5,27.0,161.5,54.0,1994.0
"Athletics Women's 10,000 metres",Summer,F,Gold,127530.0,64351.5,25.5,163.5,47.5,2002.0
Athletics Women's 100 metres,Summer,F,Gold,146670.5,73888.5,22.5,169.5,57.0,1974.0
Athletics Women's 100 metres Hurdles,Summer,F,Gold,139190.5,70070.0,25.5,167.5,60.0,1994.0
Athletics Women's 20 kilometres Walk,Summer,F,Gold,140587.0,70582.0,23.0,160.0,47.0,2008.0
Athletics Women's 200 metres,Summer,F,Gold,76013.0,38711.5,24.0,170.0,59.0,1982.0
"Athletics Women's 3,000 metres",Summer,F,Gold,203684.0,102261.0,29.0,168.0,54.0,1988.0
"Athletics Women's 3,000 metres Steeplechase",Summer,F,Gold,209123.0,104992.0,26.0,175.0,54.0,2012.0
Athletics Women's 4 x 100 metres Relay,Summer,F,Gold,104330.5,52748.0,23.0,168.0,58.0,1980.0
Athletics Women's 4 x 400 metres Relay,Summer,F,Gold,134271.0,67602.0,25.0,170.0,58.0,1996.0
Athletics Women's 400 metres,Summer,F,Gold,167483.0,84127.0,24.5,171.0,60.0,1990.0
Athletics Women's 400 metres Hurdles,Summer,F,Gold,93905.0,47532.0,26.0,173.0,58.0,2000.0
"Athletics Women's 5,000 metres",Summer,F,Gold,53862.0,27646.5,26.0,159.0,42.0,2006.0
Athletics Women's 80 metres Hurdles,Summer,F,Gold,196602.5,98728.5,23.5,171.0,57.0,1954.0
Athletics Women's 800 metres,Summer,F,Gold,159372.5,80020.5,25.0,169.0,57.0,1986.0
Athletics Women's Discus Throw,Summer,F,Gold,185908.0,93475.0,27.0,180.0,85.0,1976.0
Athletics Women's Hammer Throw,Summer,F,Gold,156767.0,78744.0,28.0,180.0,85.0,2008.0
Athletics Women's Heptathlon,Summer,F,Gold,121395.0,61371.0,26.0,178.0,68.0,2000.0
Athletics Women's High Jump,Summer,F,Gold,124941.0,63076.0,27.0,179.5,61.5,1976.0
Athletics Women's Javelin Throw,Summer,F,Gold,156244.5,78465.5,25.0,171.0,70.5,1978.0
Athletics Women's Long Jump,Summer,F,Gold,131126.5,66043.0,25.0,171.5,61.0,1982.0
Athletics Women's Marathon,Summer,F,Gold,172670.0,86753.0,28.0,160.0,48.0,2000.0
Athletics Women's Pentathlon,Summer,F,Gold,192931.0,96880.0,26.0,173.0,71.0,1972.0
Athletics Women's Pole Vault,Summer,F,Gold,103866.0,52554.0,26.0,174.0,64.0,2008.0
Athletics Women's Shot Put,Summer,F,Gold,134688.5,67701.5,25.5,180.0,93.5,1982.0
Athletics Women's Triple Jump,Summer,F,Gold,151779.5,76148.5,28.5,175.5,62.5,2006.0
Badminton Mixed Doubles,Summer,F,Gold,107420.5,54236.5,25.5,169.0,61.0,2006.0
Badminton Women's Doubles,Summer,F,Gold,130343.5,65606.5,25.0,169.0,62.0,2004.0
Badminton Women's Singles,Summer,F,Gold,149622.0,75045.0,23.0,173.5,65.0,2004.0
