Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Alpine Skiing Women's Combined,Winter,F,Silver,148110.0,74318.0,25.0,168.0,66.0,1998.0
Alpine Skiing Women's Downhill,Winter,F,Silver,194036.0,97468.0,22.5,169.0,65.0,1990.0
Alpine Skiing Women's Giant Slalom,Winter,F,Silver,153580.0,77079.0,24.0,167.0,60.0,1988.0
Alpine Skiing Women's Slalom,Winter,F,Silver,91542.0,46415.5,22.5,168.5,62.0,1990.0
Alpine Skiing Women's Super G,Winter,F,Silver,111092.5,56135.5,24.0,172.0,72.5,2000.0
Archery Women's Individual,Summer,F,Silver,136807.0,68786.0,22.5,168.0,64.5,1994.0
Archery Women's Team,Summer,F,Silver,186914.5,93945.5,26.0,169.0,63.0,2002.0
"Athletics Women's 1,500 metres",Summer,F,Silver,97144.5,49169.0,27.5,167.0,52.5,1994.0
Athletics Women's 10 kilometres Walk,Summer,F,Silver,178900.5,89918.0,27.0,166.0,57.0,1994.0
"Athletics Women's 10,000 metres",Summer,F,Silver,136907.0,68990.5,25.5,160.0,46.0,2002.0
Athletics Women's 100 metres,Summer,F,Silver,175239.0,88066.0,23.0,165.0,59.0,1980.0
Athletics Women's 100 metres Hurdles,Summer,F,Silver,120827.5,60851.5,25.5,170.0,61.5,1994.0
Athletics Women's 20 kilometres Walk,Summer,F,Silver,112991.0,57247.0,28.0,162.0,50.0,2008.0
Athletics Women's 200 metres,Summer,F,Silver,84422.0,42872.0,22.0,168.0,57.0,1984.0
"Athletics Women's 3,000 metres",Summer,F,Silver,209162.0,105010.0,25.0,168.0,54.0,1988.0
"Athletics Women's 3,000 metres Steeplechase",Summer,F,Silver,108017.0,54610.0,26.0,164.0,48.0,2012.0
Athletics Women's 4 x 100 metres Relay,Summer,F,Silver,122418.0,61876.5,23.0,167.0,58.0,1984.0
Athletics Women's 4 x 400 metres Relay,Summer,F,Silver,113118.0,57309.0,25.0,170.0,59.0,1996.0
Athletics Women's 400 metres,Summer,F,Silver,84634.5,42955.5,24.5,170.0,59.5,1990.0
Athletics Women's 400 metres Hurdles,Summer,F,Silver,93907.0,47532.0,28.0,171.0,60.0,2000.0
"Athletics Women's 5,000 metres",Summer,F,Silver,149170.5,75114.5,26.0,158.5,42.0,2006.0
Athletics Women's 80 metres Hurdles,Summer,F,Silver,103374.0,52352.5,24.0,167.0,60.0,1954.0
Athletics Women's 800 metres,Summer,F,Silver,173172.0,86999.5,23.5,167.0,56.0,1986.0
Athletics Women's Discus Throw,Summer,F,Silver,156752.0,78737.0,25.0,175.0,86.0,1980.0
Athletics Women's Hammer Throw,Summer,F,Silver,163312.0,81979.0,27.0,176.0,78.0,2008.0
Athletics Women's Heptathlon,Summer,F,Silver,110860.0,56085.0,24.0,175.0,65.0,2000.0
Athletics Women's High Jump,Summer,F,Silver,131038.0,66007.0,23.0,177.0,60.0,1974.0
Athletics Women's Javelin Throw,Summer,F,Silver,143738.5,72162.5,26.5,170.5,69.0,1978.0
Athletics Women's Long Jump,Summer,F,Silver,168770.0,84785.0,25.0,171.0,60.5,1982.0
Athletics Women's Marathon,Summer,F,Silver,150775.0,75656.0,30.0,160.0,47.0,2000.0
Athletics Women's Pentathlon,Summer,F,Silver,204356.0,102599.0,25.0,175.0,68.0,1972.0
Athletics Women's Pole Vault,Summer,F,Silver,163921.0,82271.0,24.0,173.0,62.0,2008.0
Athletics Women's Shot Put,Summer,F,Silver,120889.0,61154.0,28.0,176.0,90.0,1984.0
Athletics Women's Triple Jump,Summer,F,Silver,133682.0,67294.0,27.0,174.0,64.5,2006.0
Badminton Mixed Doubles,Summer,F,Silver,156019.5,78344.0,25.5,166.5,59.5,2006.0
Badminton Women's Doubles,Summer,F,Silver,111606.5,56494.0,25.5,170.0,63.5,2006.0
Badminton Women's Singles,Summer,F,Silver,189446.5,95137.0,24.0,176.0,65.0,2006.0
Basketball Women's Basketball,Summer,F,Silver,136265.5,68538.0,25.0,182.0,71.5,1996.0
Beach Volleyball Women's Beach Volleyball,Summer,F,Silver,204508.0,102679.0,30.0,180.0,67.0,2008.0
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Winter,F,Silver,239553.0,120151.0,24.5,168.0,59.0,2014.0
Biathlon Women's 10 kilometres Pursuit,Winter,F,Silver,104998.5,53024.5,25.5,169.5,58.0,2008.0
Biathlon Women's 12.5 kilometres Mass Start,Winter,F,Silver,260644.0,130430.0,29.0,170.0,62.0,2010.0
Biathlon Women's 15 kilometres,Winter,F,Silver,117509.0,59471.0,26.0,162.0,52.0,2002.0
Biathlon Women's 3 x 7.5 kilometres Relay,Winter,F,Silver,56100.0,28751.0,23.0,173.0,66.0,1992.0
Biathlon Women's 4 x 6 kilometres Relay,Winter,F,Silver,87118.0,44150.0,28.5,168.0,57.5,2010.0
Biathlon Women's 4 x 7.5 kilometres Relay,Winter,F,Silver,142494.5,71639.5,25.5,172.0,60.0,1998.0
Biathlon Women's 7.5 kilometres Sprint,Winter,F,Silver,170131.0,85492.0,27.0,164.0,58.0,2002.0
Bobsleigh Women's Two,Winter,F,Silver,175709.0,88196.5,29.0,173.0,75.0,2008.0
Boxing Women's Flyweight,Summer,F,Silver,189142.0,95023.0,29.0,162.5,51.0,2014.0
Boxing Women's Lightweight,Summer,F,Silver,220387.5,110454.0,25.0,168.5,60.0,2014.0
Boxing Women's Middleweight,Summer,F,Silver,156491.5,78677.0,30.5,177.5,75.0,2014.0
"Canoeing Women's Kayak Doubles, 500 metres",Summer,F,Silver,126809.0,63935.0,27.0,172.0,66.0,1988.0
"Canoeing Women's Kayak Fours, 500 metres",Summer,F,Silver,125822.5,63471.5,24.0,173.0,68.0,2000.0
"Canoeing Women's Kayak Singles, 200 metres",Summer,F,Silver,217297.5,108965.0,29.0,165.5,63.0,2014.0
"Canoeing Women's Kayak Singles, 500 metres",Summer,F,Silver,107845.5,54572.5,27.0,167.5,67.0,1986.0
"Canoeing Women's Kayak Singles, Slalom",Summer,F,Silver,86123.0,43670.0,26.0,170.0,62.0,2004.0
Cross Country Skiing Women's 10 kilometres,Winter,F,Silver,145497.5,73192.5,27.5,162.0,55.0,1982.0
Cross Country Skiing Women's 15 kilometres,Winter,F,Silver,186768.0,93809.5,27.5,167.0,57.5,1996.0
Cross Country Skiing Women's 15 km Skiathlon,Winter,F,Silver,112378.0,56898.0,26.0,163.0,60.0,2010.0
Cross Country Skiing Women's 20 kilometres,Winter,F,Silver,211451.0,106206.5,27.0,162.0,54.0,1986.0
Cross Country Skiing Women's 3 x 5 kilometres Relay,Winter,F,Silver,126193.0,63624.0,29.0,162.0,56.0,1964.0
Cross Country Skiing Women's 30 kilometres,Winter,F,Silver,31176.5,16173.0,29.0,165.5,55.5,2000.0
Cross Country Skiing Women's 4 x 5 kilometres Relay,Winter,F,Silver,171832.0,86341.0,28.0,168.0,58.0,1994.0
Cross Country Skiing Women's 5 kilometres,Winter,F,Silver,153064.5,76959.5,25.0,164.5,56.0,1982.0
Cross Country Skiing Women's 5/10 kilometres Pursuit,Winter,F,Silver,49032.0,25262.0,27.0,164.0,55.0,1994.0
Cross Country Skiing Women's 5/5 kilometres Pursuit,Winter,F,Silver,170099.0,85479.0,28.0,175.0,67.0,2002.0
Cross Country Skiing Women's Sprint,Winter,F,Silver,129184.0,65033.0,27.0,168.0,58.0,2006.0
Cross Country Skiing Women's Team Sprint,Winter,F,Silver,185668.0,93264.5,27.0,167.0,59.0,2010.0
Curling Women's Curling,Winter,F,Silver,133626.0,67272.0,31.0,169.0,64.0,2006.0
Cycling Women's 500 metres Time Trial,Summer,F,Silver,88545.0,44931.0,26.5,169.0,72.5,2002.0
Cycling Women's BMX,Summer,F,Silver,191986.0,96399.0,24.0,163.0,63.0,2012.0
"Cycling Women's Individual Pursuit, 3,000 metres",Summer,F,Silver,99335.0,50278.0,32.0,170.0,60.0,2000.0
Cycling Women's Individual Time Trial,Summer,F,Silver,119719.0,60276.0,33.5,168.5,54.5,2006.0
Cycling Women's Keirin,Summer,F,Silver,96222.0,48724.0,25.0,170.5,68.0,2014.0
"Cycling Women's Mountainbike, Cross-Country",Summer,F,Silver,230169.0,115551.0,29.0,168.0,55.0,2006.0
Cycling Women's Omnium,Summer,F,Silver,89458.0,45332.0,30.0,171.0,65.0,2014.0
Cycling Women's Points Race,Summer,F,Silver,88442.5,44822.5,31.0,168.0,64.0,2002.0
"Cycling Women's Road Race, Individual",Summer,F,Silver,109104.0,55171.0,26.0,168.0,57.0,2000.0
Cycling Women's Sprint,Summer,F,Silver,130555.5,65738.0,24.0,165.0,62.5,2002.0
Cycling Women's Team Pursuit,Summer,F,Silver,89457.0,45332.0,28.0,173.0,65.0,2014.0
Cycling Women's Team Sprint,Summer,F,Silver,152812.5,76961.5,24.0,164.5,64.5,2014.0
Diving Women's Platform,Summer,F,Silver,138236.0,69455.0,21.0,162.0,51.0,1984.0
Diving Women's Springboard,Summer,F,Silver,133018.5,66953.0,20.5,162.0,51.0,1986.0
Diving Women's Synchronized Platform,Summer,F,Silver,109417.5,55334.5,20.5,156.0,49.5,2008.0
Diving Women's Synchronized Springboard,Summer,F,Silver,94658.0,47942.5,24.5,161.0,49.5,2008.0
"Equestrianism Mixed Dressage, Individual",Summer,F,Silver,228966.0,114774.5,32.5,169.0,65.0,1998.0
"Equestrianism Mixed Dressage, Team",Summer,F,Silver,187612.0,94284.0,35.0,172.0,59.0,1992.0
"Equestrianism Mixed Jumping, Individual",Summer,F,Silver,102717.5,51872.0,21.5,161.0,56.5,1970.0
"Equestrianism Mixed Jumping, Team",Summer,F,Silver,129493.0,65188.0,30.5,168.0,56.0,1996.0
"Equestrianism Mixed Three-Day Event, Individual",Summer,F,Silver,187980.0,94389.5,33.5,161.5,55.0,2006.0
"Equestrianism Mixed Three-Day Event, Team",Summer,F,Silver,103601.0,52402.0,31.0,168.5,60.0,2004.0
"Fencing Women's Foil, Individual",Summer,F,Silver,159063.5,79846.5,26.5,169.0,61.5,1986.0
"Fencing Women's Foil, Team",Summer,F,Silver,164873.0,82794.0,25.0,168.0,58.0,1984.0
"Fencing Women's Sabre, Individual",Summer,F,Silver,243540.0,122038.0,26.0,175.0,70.0,2010.0
"Fencing Women's Sabre, Team",Summer,F,Silver,125000.0,63097.0,24.0,172.0,66.5,2012.0
"Fencing Women's epee, Individual",Summer,F,Silver,69605.5,35468.5,28.0,169.0,54.0,2006.0
"Fencing Women's epee, Team",Summer,F,Silver,107879.0,54541.0,25.0,176.0,65.0,2004.0
Figure Skating Mixed Ice Dancing,Winter,F,Silver,124511.0,62851.0,24.0,165.0,50.0,1996.0
Figure Skating Mixed Pairs,Winter,F,Silver,139076.5,70034.0,22.0,159.5,49.0,1980.0
Figure Skating Mixed Team,Winter,F,Silver,170656.0,85738.0,22.5,156.0,50.5,2014.0
Figure Skating Women's Singles,Winter,F,Silver,117748.0,59615.0,19.5,160.0,49.0,1990.0
Football Women's Football,Summer,F,Silver,140800.0,70685.0,25.0,166.0,59.0,2008.0
Freestyle Skiing Women's Aerials,Winter,F,Silver,138993.0,69807.0,23.0,160.0,52.5,2004.0
Freestyle Skiing Women's Halfpipe,Winter,F,Silver,151180.0,75872.0,29.0,158.0,48.0,2014.0
Freestyle Skiing Women's Moguls,Winter,F,Silver,126045.0,63572.0,26.0,165.0,59.0,2002.0
Freestyle Skiing Women's Ski Cross,Winter,F,Silver,118658.0,59845.0,28.5,167.5,62.0,2012.0
Freestyle Skiing Women's Slopestyle,Winter,F,Silver,141589.0,71033.0,20.0,178.0,82.0,2014.0
Gymnastics Women's Balance Beam,Summer,F,Silver,141305.0,70912.0,18.0,152.0,45.0,1988.0
Gymnastics Women's Floor Exercise,Summer,F,Silver,155170.0,77900.0,19.0,158.0,47.0,1992.0
Gymnastics Women's Horse Vault,Summer,F,Silver,166163.0,83448.0,21.0,158.0,46.0,1980.0
Gymnastics Women's Individual All-Around,Summer,F,Silver,128291.5,64698.5,18.0,154.0,46.5,1986.0
Gymnastics Women's Team All-Around,Summer,F,Silver,148543.5,74552.0,18.0,156.0,45.5,1984.0
Gymnastics Women's Uneven Bars,Summer,F,Silver,123240.5,62275.0,17.5,155.5,44.5,1984.0
Handball Women's Handball,Summer,F,Silver,135548.0,68200.0,24.0,174.0,67.0,2000.0
Hockey Women's Hockey,Summer,F,Silver,131766.0,66310.0,25.0,166.0,59.0,2000.0
Ice Hockey Women's Ice Hockey,Winter,F,Silver,131609.0,66235.0,24.0,170.0,68.0,2006.0
