NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
NOR,Ann Kristin Aarnes,F,23.0,182.0,64.0,Summer,1996,Football,Football Women's Football,Bronze
AZE,Patimat Abakarova,F,21.0,165.0,49.0,Summer,2016,Taekwondo,Taekwondo Women's Flyweight,Bronze
CAN,Reema Abdo,F,21.0,173.0,59.0,Summer,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
CAN,Jennifer Abel,F,20.0,160.0,62.0,Summer,2012,Diving,Diving Women's Synchronized Springboard,Bronze
RUS,Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,Winter,2006,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
RUS,Svetlana Olegovna Abrosimova,F,28.0,188.0,77.0,Summer,2008,Basketball,Basketball Women's Basketball,Bronze
JPN,Ginko Abukawa-Chiba,F,26.0,148.0,46.0,Summer,1964,Gymnastics,Gymnastics Women's Team All-Around,Bronze
ROU,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Summer,2008,Gymnastics,Gymnastics Women's Team All-Around,Bronze
URS,Rita Nikolayevna Achkina,F,30.0,168.0,63.0,Winter,1968,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
NED,Chantal Achterberg,F,27.0,172.0,72.0,Summer,2012,Rowing,Rowing Women's Coxed Eights,Bronze
USA,Rachael Alexis Adams,F,26.0,188.0,81.0,Summer,2016,Volleyball,Volleyball Women's Volleyball,Bronze
GBR,"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,Winter,2014,Curling,Curling Women's Curling,Bronze
GBR,"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Summer,2012,Swimming,Swimming Women's 400 metres Freestyle,Bronze
GBR,"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Summer,2012,Swimming,Swimming Women's 800 metres Freestyle,Bronze
BRA,Adriana Aparecida dos Santos,F,29.0,180.0,61.0,Summer,2000,Basketball,Basketball Women's Basketball,Bronze
BRA,"Adriana ""Adrianinha"" Moiss Pinto",F,21.0,170.0,65.0,Summer,2000,Basketball,Basketball Women's Basketball,Bronze
ROU,Felicia Afrsiloaie (-Jitianu),F,22.0,178.0,70.0,Summer,1976,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
ROU,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Summer,1984,Gymnastics,Gymnastics Women's Horse Vault,Bronze
ESP,Macarena Aguilar Daz,F,27.0,170.0,67.0,Summer,2012,Handball,Handball Women's Handball,Bronze
SWE,Annica Gunilla hln,F,27.0,177.0,75.0,Winter,2002,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
ARG,Mara Magdalena Aicega Amicarelli,F,30.0,165.0,60.0,Summer,2004,Hockey,Hockey Women's Hockey,Bronze
ARG,Mara Magdalena Aicega Amicarelli,F,34.0,165.0,60.0,Summer,2008,Hockey,Hockey Women's Hockey,Bronze
GRE,Eirini Andili,F,17.0,167.0,45.0,Summer,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
RUS,Albina Khamitovna Akhatova,F,25.0,160.0,55.0,Winter,2002,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
RUS,Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Winter,2006,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
RUS,Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Winter,2006,Biathlon,Biathlon Women's 15 kilometres,Bronze
URS,Leyla Begnyazovna Akhmerova,F,23.0,160.0,52.0,Summer,1980,Hockey,Hockey Women's Hockey,Bronze
USA,Foluke Antinuke Akinradewo,F,28.0,191.0,79.0,Summer,2016,Volleyball,Volleyball Women's Volleyball,Bronze
RUS,Marina Dazmirovna Akobiya,F,25.0,165.0,57.0,Summer,2000,Water Polo,Water Polo Women's Water Polo,Bronze
USA,Monica Aksamit,F,26.0,183.0,74.0,Summer,2016,Fencing,"Fencing Women's Sabre, Team",Bronze
URS,Liudmyla Vasylivna Aksenova (Shapovalova-),F,29.0,165.0,58.0,Summer,1976,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
URS,Irina Anatolyevna Aksyonova,F,17.0,174.0,62.0,Summer,1980,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
ESP,Nely Carla Alberto Francisca,F,29.0,179.0,90.0,Summer,2012,Handball,Handball Women's Handball,Bronze
GDR,Sylvia Albrecht (-Heckendorf),F,17.0,165.0,57.0,Winter,1980,Speed Skating,"Speed Skating Women's 1,000 metres",Bronze
SUI,Brigitte Albrecht-Loretan,F,31.0,175.0,64.0,Winter,2002,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
USA,"Joan ""Jody"" Alderson (-Braskamp)",F,17.0,170.0,59.0,Summer,1952,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
URS,Galina Aleksandrovna Alekseyeva,F,17.0,157.0,50.0,Summer,1964,Diving,Diving Women's Platform,Bronze
BRA,Alessandra dos Santos de Oliveira,F,26.0,200.0,85.0,Summer,2000,Basketball,Basketball Women's Basketball,Bronze
CAN,Buffy-Lynne Alexander-Williams,F,23.0,170.0,69.0,Summer,2000,Rowing,Rowing Women's Coxed Eights,Bronze
URS,Lidiya Nikolayevna Alfeyeva,F,30.0,170.0,62.0,Summer,1976,Athletics,Athletics Women's Long Jump,Bronze
IRI,Kimia Alizadeh Zenoorin,F,18.0,185.0,57.0,Summer,2016,Taekwondo,Taekwondo Women's Featherweight,Bronze
