NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
GBR,Nicola Virginia Adams,F,29.0,164.0,51.0,Summer,2012,Boxing,Boxing Women's Flyweight,Gold
GBR,Nicola Virginia Adams,F,33.0,164.0,51.0,Summer,2016,Boxing,Boxing Women's Flyweight,Gold
NZL,Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,Summer,2008,Athletics,Athletics Women's Shot Put,Gold
NZL,Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,Summer,2012,Athletics,Athletics Women's Shot Put,Gold
BRA,Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,Summer,2012,Volleyball,Volleyball Women's Volleyball,Gold
GBR,"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,Summer,2008,Swimming,Swimming Women's 400 metres Freestyle,Gold
GBR,"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,Summer,2008,Swimming,Swimming Women's 800 metres Freestyle,Gold
ROU,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Summer,1984,Gymnastics,Gymnastics Women's Team All-Around,Gold
NED,Marilyn Agliotti,F,29.0,172.0,58.0,Summer,2008,Hockey,Hockey Women's Hockey,Gold
NED,Marilyn Agliotti,F,33.0,172.0,58.0,Summer,2012,Hockey,Hockey Women's Hockey,Gold
CAN,Meghan Christina Agosta (-Marciano),F,18.0,168.0,67.0,Winter,2006,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
CAN,Meghan Christina Agosta (-Marciano),F,23.0,168.0,67.0,Winter,2010,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
CAN,Meghan Christina Agosta (-Marciano),F,26.0,168.0,67.0,Winter,2014,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
HUN,Judit goston-Mendelnyi,F,27.0,164.0,62.0,Summer,1964,Fencing,"Fencing Women's Foil, Team",Gold
CUB,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23.0,175.0,70.0,Summer,2000,Volleyball,Volleyball Women's Volleyball,Gold
USA,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,Summer,1992,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
USA,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,Summer,1992,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
GDR,Brigitte Ahrenholz,F,23.0,178.0,85.0,Summer,1976,Rowing,Rowing Women's Coxed Eights,Gold
NGR,Chioma Ajunwa (-Opara),F,24.0,164.0,57.0,Summer,1996,Athletics,Athletics Women's Long Jump,Gold
USA,Michelle Anne Akers,F,30.0,178.0,68.0,Summer,1996,Football,Football Women's Football,Gold
URS,Yelena Rabigovna Akhaminova (-Sokolovskaya),F,18.0,181.0,80.0,Summer,1980,Volleyball,Volleyball Women's Volleyball,Gold
RUS,Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Winter,2006,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
USA,Morolake Akinosun,F,22.0,163.0,61.0,Summer,2016,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
ESP,Marina Alabau Neira,F,26.0,164.0,55.0,Summer,2012,Sailing,Sailing Women's Windsurfer,Gold
NZL,Jo Qesem Ayela Aleh,F,26.0,171.0,58.0,Summer,2012,Sailing,Sailing Women's Two Person Dinghy,Gold
URS,Larisa Aleksandrova-Popova,F,23.0,180.0,83.0,Summer,1980,Rowing,Rowing Women's Double Sculls,Gold
RUS,Margarita Sergeyevna Aliychuk,F,17.0,174.0,48.0,Summer,2008,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
AUT,"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34.0,163.0,53.0,Summer,2004,Triathlon,Triathlon Women's Olympic Distance,Gold
AUS,"Kate Ruth ""Katie"" Allen",F,26.0,170.0,65.0,Summer,2000,Hockey,Hockey Women's Hockey,Gold
USA,Lynne Marie Allsup (-Olson),F,15.0,163.0,59.0,Summer,1964,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
ITA,Carmela Allucci,F,34.0,167.0,60.0,Summer,2004,Water Polo,Water Polo Women's Water Polo,Gold
NOR,Ida Alstad,F,27.0,172.0,60.0,Summer,2012,Handball,Handball Women's Handball,Gold
ROU,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Summer,1996,Gymnastics,Gymnastics Women's Horse Vault,Gold
ROU,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Summer,2000,Gymnastics,Gymnastics Women's Individual All-Around,Gold
ROU,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Summer,2000,Gymnastics,Gymnastics Women's Team All-Around,Gold
USA,Christie Ambrosi,F,23.0,172.0,70.0,Summer,2000,Softball,Softball Women's Softball,Gold
PRK,An Kum-Ae,F,32.0,160.0,52.0,Summer,2012,Judo,Judo Women's Half-Lightweight,Gold
KOR,An Sang-Mi,F,18.0,155.0,48.0,Winter,1998,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
YUG,Svetlana Anastasovski-Obuina,F,23.0,176.0,65.0,Summer,1984,Handball,Handball Women's Handball,Gold
