NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
RUS,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,Summer,2008,Athletics,Athletics Women's Javelin Throw,Silver
RUS,Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Summer,2004,Cycling,Cycling Women's Sprint,Silver
USA,Monica Cecilia Abbott,F,23.0,191.0,88.0,Summer,2008,Softball,Softball Women's Softball,Silver
USA,Nia Nicole Abdallah,F,20.0,175.0,56.0,Summer,2004,Taekwondo,Taekwondo Women's Featherweight,Silver
GDR,Irene Abel,F,19.0,160.0,48.0,Summer,1972,Gymnastics,Gymnastics Women's Team All-Around,Silver
TUR,Elvan Abeylegesse,F,25.0,159.0,40.0,Summer,2008,Athletics,"Athletics Women's 5,000 metres",Silver
URS,Nelli Mikhaylovna Abramova,F,24.0,171.0,60.0,Summer,1964,Volleyball,Volleyball Women's Volleyball,Silver
NED,Chantal Achterberg,F,31.0,172.0,72.0,Summer,2016,Rowing,Rowing Women's Quadruple Sculls,Silver
NZL,Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,Summer,2016,Athletics,Athletics Women's Shot Put,Silver
BRA,Adriana Aparecida dos Santos,F,25.0,180.0,61.0,Summer,1996,Basketball,Basketball Women's Basketball,Silver
RUS,Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Summer,2012,Gymnastics,Gymnastics Women's Team All-Around,Silver
NGR,"Olabisi ""Bisi"" Afolabi",F,20.0,180.0,62.0,Summer,1996,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
FRA,Clarisse Agbegnenou,F,23.0,164.0,66.0,Summer,2016,Judo,Judo Women's Half-Middleweight,Silver
ESP,Sandra Aguilar Navarro,F,23.0,167.0,50.0,Summer,2016,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
INA,Sri Wahyuni Agustiani,F,21.0,147.0,47.0,Summer,2016,Weightlifting,Weightlifting Women's Flyweight,Silver
USA,Robyn Mokihana Ah Mow-Santos,F,32.0,172.0,67.0,Summer,2008,Volleyball,Volleyball Women's Volleyball,Silver
USA,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,Summer,1992,Swimming,Swimming Women's 100 metres Butterfly,Silver
CHI,Marlene Ahrens Ostertag (-Ebensperger),F,23.0,176.0,70.0,Summer,1956,Athletics,Athletics Women's Javelin Throw,Silver
ARG,Mara Magdalena Aicega Amicarelli,F,26.0,165.0,60.0,Summer,2000,Hockey,Hockey Women's Hockey,Silver
ITA,Rosaria Aiello,F,27.0,172.0,74.0,Summer,2016,Water Polo,Water Polo Women's Water Polo,Silver
