sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
91,29,Willemien Aardenburg,F,22.0,,,Netherlands,NED,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
105,37,Ann Kristin Aarnes,F,23.0,182.0,64.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Bronze
161,65,Patimat Abakarova,F,21.0,165.0,49.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
476,259,Reema Abdo,F,21.0,173.0,59.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
684,395,Jennifer Abel,F,20.0,160.0,62.0,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze
740,424,Moira Abernethy (-Ford),F,17.0,,,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
974,548,Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
1035,580,Svetlana Olegovna Abrosimova,F,28.0,188.0,77.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
1089,610,Ginko Abukawa-Chiba,F,26.0,148.0,46.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1121,627,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1210,680,Rita Nikolayevna Achkina,F,30.0,168.0,63.0,Russia,URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
1227,690,Chantal Achterberg,F,27.0,172.0,72.0,Netherlands,NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
1514,837,Rachael Alexis Adams,F,26.0,188.0,81.0,USA,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
1519,840,"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,UK,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
1739,968,"Margarete ""Grete"" Adler",F,16.0,,,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1756,975,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),F,39.0,,,Sweden,SWE,1908 Summer,1908,Summer,London,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
1774,980,"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,UK,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
1775,980,"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,UK,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1857,1020,Adriana Aparecida dos Santos,F,29.0,180.0,61.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
1863,1023,"Adriana ""Adrianinha"" Moiss Pinto",F,21.0,170.0,65.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze
1976,1094,Felicia Afrsiloaie (-Jitianu),F,22.0,178.0,70.0,Romania,ROU,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
2007,1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,Bronze
2263,1254,Macarena Aguilar Daz,F,27.0,170.0,67.0,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze
2396,1340,Annica Gunilla hln,F,27.0,177.0,75.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
2619,1467,Mara Magdalena Aicega Amicarelli,F,30.0,165.0,60.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze
