sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
1494,832,Nicola Virginia Adams,F,29.0,164.0,51.0,UK,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
1495,832,Nicola Virginia Adams,F,33.0,164.0,51.0,UK,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
1527,846,Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold
1528,846,Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold
1668,925,Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
1772,980,"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,UK,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
1773,980,"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,UK,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
2005,1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold
2099,1169,Marilyn Agliotti,F,29.0,172.0,58.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
2100,1169,Marilyn Agliotti,F,33.0,172.0,58.0,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
2126,1181,Meghan Christina Agosta (-Marciano),F,18.0,168.0,67.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2127,1181,Meghan Christina Agosta (-Marciano),F,23.0,168.0,67.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2128,1181,Meghan Christina Agosta (-Marciano),F,26.0,168.0,67.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2143,1191,Judit goston-Mendelnyi,F,27.0,164.0,62.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Women's Foil, Team",Gold
2184,1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23.0,175.0,70.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Gold
2466,1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,USA,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
2468,1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,USA,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
2577,1443,Brigitte Ahrenholz,F,23.0,178.0,85.0,Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Gold
2815,1564,Chioma Ajunwa (-Opara),F,24.0,164.0,57.0,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,Gold
2911,1622,Michelle Anne Akers,F,30.0,178.0,68.0,USA,USA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Gold
2929,1637,Yelena Rabigovna Akhaminova (-Sokolovskaya),F,18.0,181.0,80.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Gold
2941,1639,Albina Khamitovna Akhatova,F,29.0,160.0,55.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
3020,1682,Morolake Akinosun,F,22.0,163.0,61.0,USA,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
3833,2210,Marina Alabau Neira,F,26.0,164.0,55.0,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Windsurfer,Gold
4317,2464,Jo Qesem Ayela Aleh,F,26.0,171.0,58.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,Gold
4380,2495,Larisa Aleksandrova-Popova,F,23.0,180.0,83.0,Russia,URS,1980 Summer,1980,Summer,Moskva,Rowing,Rowing Women's Double Sculls,Gold
4835,2762,Margarita Sergeyevna Aliychuk,F,17.0,174.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
4994,2849,"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34.0,163.0,53.0,Austria,AUT,2004 Summer,2004,Summer,Athina,Triathlon,Triathlon Women's Olympic Distance,Gold
4996,2850,"Kate Ruth ""Katie"" Allen",F,26.0,170.0,65.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold
5147,2929,Lynne Marie Allsup (-Olson),F,15.0,163.0,59.0,USA,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
5148,2930,Carmela Allucci,F,34.0,167.0,60.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Gold
5457,3077,Ida Alstad,F,27.0,172.0,60.0,Norway,NOR,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Gold
5826,3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,Gold
5829,3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,Gold
5830,3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Gold
5988,3363,Christie Ambrosi,F,23.0,172.0,70.0,USA,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold
6398,3593,An Kum-Ae,F,32.0,160.0,52.0,North Korea,PRK,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,Gold
6405,3595,An Sang-Mi,F,18.0,155.0,48.0,South Korea,KOR,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold
6518,3652,Svetlana Anastasovski-Obuina,F,23.0,176.0,65.0,Serbia,YUG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Women's Handball,Gold
6557,3672,milie Andol,F,28.0,170.0,97.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,Gold
6612,3701,Camilla Rseler Andersen,F,23.0,169.0,65.0,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold
6613,3701,Camilla Rseler Andersen,F,27.0,169.0,65.0,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,Gold
6706,3756,Kristine Andersen,F,28.0,172.0,72.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,Gold
