sno,ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal
163,67,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
195,90,Tamila Rashidovna Abasova,F,21.0,163.0,60.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
286,153,Monica Cecilia Abbott,F,23.0,191.0,88.0,USA,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
311,165,Nia Nicole Abdallah,F,20.0,175.0,56.0,USA,USA,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
677,394,Irene Abel,F,19.0,160.0,48.0,Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver
747,428,Elvan Abeylegesse,F,25.0,159.0,40.0,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
971,547,Nelli Mikhaylovna Abramova,F,24.0,171.0,60.0,Russia,URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
1228,690,Chantal Achterberg,F,31.0,172.0,72.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
1529,846,Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver
1856,1020,Adriana Aparecida dos Santos,F,25.0,180.0,61.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
1942,1071,Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
1968,1088,"Olabisi ""Bisi"" Afolabi",F,20.0,180.0,62.0,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
2044,1131,Clarisse Agbegnenou,F,23.0,164.0,66.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver
2280,1262,Sandra Aguilar Navarro,F,23.0,167.0,50.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
2331,1301,Sri Wahyuni Agustiani,F,21.0,147.0,47.0,Indonesia,INA,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Silver
2352,1313,Robyn Mokihana Ah Mow-Santos,F,32.0,172.0,67.0,USA,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Silver
2467,1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22.0,172.0,52.0,USA,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,Silver
2584,1447,Marlene Ahrens Ostertag (-Ebensperger),F,23.0,176.0,70.0,Chile,CHI,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's Javelin Throw,Silver
2618,1467,Mara Magdalena Aicega Amicarelli,F,26.0,165.0,60.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Silver
2635,1478,Rosaria Aiello,F,27.0,172.0,74.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver
2934,1639,Albina Khamitovna Akhatova,F,21.0,160.0,55.0,Russia,RUS,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
3021,1683,Foluke Antinuke Akinradewo,F,24.0,191.0,79.0,USA,USA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver
4318,2464,Jo Qesem Ayela Aleh,F,30.0,171.0,58.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,Silver
4379,2495,Larisa Aleksandrova-Popova,F,19.0,180.0,83.0,Russia,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver
4457,2546,Alessandra dos Santos de Oliveira,F,22.0,200.0,85.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver
4507,2575,Lisa Alexander,F,27.0,172.0,58.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
4658,2651,Sara Anneli Algotsson Ostholt,F,37.0,163.0,56.0,Sweden,SWE,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
4727,2695,Nia Sifaatihii Ali,F,27.0,170.0,65.0,USA,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,Silver
