Event,Season,Sex,Medal,Age,Height,Weight,Year
Alpine Skiing Men's Combined,Winter,M,Bronze,25.0,178.0,85.5,1996
Alpine Skiing Men's Downhill,Winter,M,Bronze,27.0,180.0,82.0,1992
Alpine Skiing Men's Giant Slalom,Winter,M,Bronze,25.0,180.0,80.0,1992
Alpine Skiing Men's Slalom,Winter,M,Bronze,23.0,178.0,78.0,1988
Alpine Skiing Men's Super G,Winter,M,Bronze,26.0,179.0,88.0,2004
Archery Men's Individual,Summer,M,Bronze,25.0,179.0,72.5,1994
Archery Men's Team,Summer,M,Bronze,24.5,182.5,82.5,2002
Art Competitions Mixed Literature,Summer,M,Bronze,26.0,172.0,76.0,1924
"Athletics Men's 1,500 metres",Summer,M,Bronze,25.0,176.5,65.0,1966
"Athletics Men's 1,600 metres Medley Relay",Summer,M,Bronze,17.5,182.0,73.0,1908
Athletics Men's 10 kilometres Walk,Summer,M,Bronze,20.0,181.0,71.0,1932
Athletics Men's 10 mile Walk,Summer,M,Bronze,26.0,165.0,53.0,1908
"Athletics Men's 10,000 metres",Summer,M,Bronze,26.0,172.0,61.5,1970
Athletics Men's 100 metres,Summer,M,Bronze,23.5,178.0,73.0,1966
Athletics Men's 110 metres Hurdles,Summer,M,Bronze,23.5,185.5,78.0,1966
"Athletics Men's 2,590 metres Steeplechase",Summer,M,Bronze,21.0,160.0,51.0,1904
Athletics Men's 20 kilometres Walk,Summer,M,Bronze,27.0,182.5,68.0,1986
Athletics Men's 200 metres,Summer,M,Bronze,22.0,180.0,73.0,1968
Athletics Men's 200 metres Hurdles,Summer,M,Bronze,24.0,183.0,64.0,1900
"Athletics Men's 3 mile, Team",Summer,M,Bronze,19.0,172.0,70.0,1908
"Athletics Men's 3,000 metres Steeplechase",Summer,M,Bronze,24.0,178.0,65.5,1978
"Athletics Men's 3,000 metres Walk",Summer,M,Bronze,36.0,178.0,68.0,1920
"Athletics Men's 3,000 metres, Team",Summer,M,Bronze,23.0,172.0,61.0,1920
