Event,Season,Sex,Medal,Age,Height,Weight,Year
Alpine Skiing Men's Combined,Winter,M,Gold,26.0,178.5,81.5,2000
Alpine Skiing Men's Downhill,Winter,M,Gold,24.0,183.0,85.5,1990
Alpine Skiing Men's Giant Slalom,Winter,M,Gold,25.0,180.0,79.0,1990
Alpine Skiing Men's Slalom,Winter,M,Gold,24.0,180.0,82.0,1992
Alpine Skiing Men's Super G,Winter,M,Gold,27.5,180.0,85.0,2000
Archery Men's Individual,Summer,M,Gold,22.0,179.0,72.0,1994
Archery Men's Team,Summer,M,Gold,24.0,180.0,78.0,2004
"Art Competitions Mixed Architecture, Architectural Designs",Summer,M,Gold,38.0,176.0,75.0,1948
"Athletics Men's 1,500 metres",Summer,M,Gold,24.0,176.0,65.0,1964
"Athletics Men's 1,500 metres Walk",Summer,M,Gold,24.0,179.0,60.0,1906
"Athletics Men's 1,600 metres Medley Relay",Summer,M,Gold,24.5,179.0,70.5,1908
Athletics Men's 10 kilometres Walk,Summer,M,Gold,28.0,177.0,64.0,1936
Athletics Men's 10 mile Walk,Summer,M,Gold,33.0,175.0,67.0,1908
"Athletics Men's 10,000 metres",Summer,M,Gold,26.0,174.0,60.0,1970
Athletics Men's 100 metres,Summer,M,Gold,23.0,183.0,75.0,1960
Athletics Men's 110 metres Hurdles,Summer,M,Gold,23.0,185.0,75.0,1960
"Athletics Men's 2,500 metres Steeplechase",Summer,M,Gold,27.0,169.0,65.0,1900
"Athletics Men's 2,590 metres Steeplechase",Summer,M,Gold,22.0,173.0,61.0,1904
Athletics Men's 20 kilometres Walk,Summer,M,Gold,24.0,178.0,64.0,1988
Athletics Men's 200 metres,Summer,M,Gold,23.0,182.0,73.0,1964
Athletics Men's 200 metres Hurdles,Summer,M,Gold,22.5,181.5,70.5,1902
"Athletics Men's 3 mile, Team",Summer,M,Gold,22.5,168.5,57.5,1908
"Athletics Men's 3,000 metres Steeplechase",Summer,M,Gold,27.0,175.0,64.0,1976
"Athletics Men's 3,000 metres Walk",Summer,M,Gold,18.0,171.0,55.0,1920
"Athletics Men's 3,000 metres, Team",Summer,M,Gold,23.5,174.5,65.0,1920
"Athletics Men's 3,200 metres Steeplechase",Summer,M,Gold,22.0,170.0,60.0,1908
"Athletics Men's 3,500 metres Walk",Summer,M,Gold,33.0,175.0,67.0,1908
"Athletics Men's 4 mile, Team",Summer,M,Gold,20.0,176.0,74.0,1904
Athletics Men's 4 x 100 metres Relay,Summer,M,Gold,23.0,180.0,74.5,1974
Athletics Men's 4 x 400 metres Relay,Summer,M,Gold,23.0,183.0,75.0,1980
Athletics Men's 400 metres,Summer,M,Gold,22.0,183.0,75.5,1962
Athletics Men's 400 metres Hurdles,Summer,M,Gold,24.0,186.0,75.0,1968
Athletics Men's 5 mile,Summer,M,Gold,25.0,165.0,53.0,1908
"Athletics Men's 5,000 metres",Summer,M,Gold,26.5,175.0,60.0,1970
"Athletics Men's 5,000 metres, Team",Summer,M,Gold,24.5,176.5,70.5,1900
Athletics Men's 50 kilometres Walk,Summer,M,Gold,28.0,178.0,64.0,1984
Athletics Men's 56-pound Weight Throw,Summer,M,Gold,36.0,187.5,107.0,1912
Athletics Men's 60 metres,Summer,M,Gold,23.0,175.0,69.5,1902
Athletics Men's 800 metres,Summer,M,Gold,23.0,183.0,71.5,1962
"Athletics Men's Cross-Country, Individual",Summer,M,Gold,22.0,174.0,65.0,1920
"Athletics Men's Cross-Country, Team",Summer,M,Gold,26.0,172.0,63.0,1920
Athletics Men's Decathlon,Summer,M,Gold,25.0,186.0,88.0,1968
Athletics Men's Discus Throw,Summer,M,Gold,27.0,192.0,112.5,1962
"Athletics Men's Discus Throw, Both Hands",Summer,M,Gold,21.0,191.0,92.5,1912
"Athletics Men's Discus Throw, Greek Style",Summer,M,Gold,31.5,186.0,91.5,1907
Athletics Men's Hammer Throw,Summer,M,Gold,29.0,185.0,106.0,1964
