Event,Season,Sex,Medal,Age,Height,Weight,Year
Alpine Skiing Men's Combined,Winter,M,Silver,25.0,182.0,88.0,2000
Alpine Skiing Men's Downhill,Winter,M,Silver,27.0,181.0,84.0,1990
Alpine Skiing Men's Giant Slalom,Winter,M,Silver,25.5,178.0,77.0,1990
Alpine Skiing Men's Slalom,Winter,M,Silver,25.5,175.5,77.0,1986
Alpine Skiing Men's Super G,Winter,M,Silver,27.5,178.5,87.5,2000
Archery Men's Individual,Summer,M,Silver,26.0,175.0,74.0,1996
Archery Men's Team,Summer,M,Silver,24.0,178.0,75.0,2002
"Athletics Men's 1,500 metres",Summer,M,Silver,24.5,177.5,66.0,1970
"Athletics Men's 1,600 metres Medley Relay",Summer,M,Silver,21.0,175.0,64.0,1908
Athletics Men's 10 kilometres Walk,Summer,M,Silver,38.0,174.0,68.0,1912
Athletics Men's 10 mile Walk,Summer,M,Silver,34.0,174.0,68.0,1908
"Athletics Men's 10,000 metres",Summer,M,Silver,26.0,170.0,60.0,1972
Athletics Men's 100 metres,Summer,M,Silver,24.0,180.0,73.0,1960
Athletics Men's 110 metres Hurdles,Summer,M,Silver,24.0,188.0,79.0,1968
"Athletics Men's 2,590 metres Steeplechase",Summer,M,Silver,24.0,187.0,83.0,1904
Athletics Men's 20 kilometres Walk,Summer,M,Silver,28.0,175.0,64.5,1986
Athletics Men's 200 metres,Summer,M,Silver,23.5,180.0,75.0,1966
"Athletics Men's 3 mile, Team",Summer,M,Silver,24.0,177.0,69.0,1908
"Athletics Men's 3,000 metres Steeplechase",Summer,M,Silver,27.0,176.0,65.0,1976
"Athletics Men's 3,000 metres Walk",Summer,M,Silver,21.0,165.0,52.0,1906
"Athletics Men's 3,000 metres, Team",Summer,M,Silver,23.5,176.0,65.0,1912
"Athletics Men's 3,500 metres Walk",Summer,M,Silver,34.0,174.0,68.0,1908
"Athletics Men's 4 mile, Team",Summer,M,Silver,21.0,170.5,59.0,1904
Athletics Men's 4 x 100 metres Relay,Summer,M,Silver,24.0,179.0,74.0,1976
Athletics Men's 4 x 400 metres Relay,Summer,M,Silver,23.5,183.0,76.0,1980
Athletics Men's 400 metres,Summer,M,Silver,23.0,183.0,71.0,1968
Athletics Men's 400 metres Hurdles,Summer,M,Silver,23.0,183.0,74.0,1968
Athletics Men's 5 mile,Summer,M,Silver,22.5,169.0,60.0,1907
"Athletics Men's 5,000 metres",Summer,M,Silver,25.0,174.5,64.5,1970
"Athletics Men's 5,000 metres, Team",Summer,M,Silver,18.0,166.0,66.0,1900
Athletics Men's 50 kilometres Walk,Summer,M,Silver,28.5,175.5,63.0,1986
Athletics Men's 56-pound Weight Throw,Summer,M,Silver,37.5,183.0,104.0,1912
Athletics Men's 60 metres,Summer,M,Silver,24.0,183.0,64.0,1900
Athletics Men's 800 metres,Summer,M,Silver,24.0,179.0,67.0,1964
"Athletics Men's Cross-Country, Individual",Summer,M,Silver,23.0,172.0,64.0,1920
"Athletics Men's Cross-Country, Team",Summer,M,Silver,25.0,173.0,60.0,1920
Athletics Men's Decathlon,Summer,M,Silver,23.5,187.5,87.5,1970
Athletics Men's Discus Throw,Summer,M,Silver,27.0,193.0,114.5,1966
"Athletics Men's Discus Throw, Both Hands",Summer,M,Silver,22.0,185.0,79.0,1912
"Athletics Men's Discus Throw, Greek Style",Summer,M,Silver,26.5,184.0,87.0,1907
Athletics Men's Hammer Throw,Summer,M,Silver,31.5,186.5,110.0,1966
Athletics Men's High Jump,Summer,M,Silver,22.0,192.0,79.0,1964
Athletics Men's Javelin Throw,Summer,M,Silver,27.0,183.5,88.5,1970
"Athletics Men's Javelin Throw, Both Hands",Summer,M,Silver,25.0,182.0,83.0,1912
"Athletics Men's Javelin Throw, Freestyle",Summer,M,Silver,23.0,178.0,89.0,1907
Athletics Men's Long Jump,Summer,M,Silver,24.0,183.0,74.0,1964
Athletics Men's Marathon,Summer,M,Silver,28.0,173.0,61.0,1976
Athletics Men's Pentathlon,Summer,M,Silver,25.0,178.0,72.0,1920
Athletics Men's Pole Vault,Summer,M,Silver,24.5,183.0,75.0,1970
