Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Alpine Skiing Men's Combined,Winter,M,Bronze,147394.5,73967.0,25.0,178.0,85.5,1996.0
Alpine Skiing Men's Downhill,Winter,M,Bronze,157467.0,79063.0,27.0,180.0,82.0,1992.0
Alpine Skiing Men's Giant Slalom,Winter,M,Bronze,157465.0,79063.0,25.0,180.0,80.0,1992.0
Alpine Skiing Men's Slalom,Winter,M,Bronze,152714.0,76632.0,23.0,178.0,78.0,1988.0
Alpine Skiing Men's Super G,Winter,M,Bronze,129778.5,65328.0,26.0,179.0,88.0,2004.0
Archery Men's Individual,Summer,M,Bronze,99405.0,50285.5,25.0,179.0,72.5,1994.0
Archery Men's Team,Summer,M,Bronze,187009.0,93949.0,24.5,182.5,82.5,2002.0
Art Competitions Mixed Literature,Summer,M,Bronze,81616.0,41434.0,26.0,172.0,76.0,1924.0
"Athletics Men's 1,500 metres",Summer,M,Bronze,137770.0,69237.0,25.0,176.5,65.0,1966.0
"Athletics Men's 1,600 metres Medley Relay",Summer,M,Bronze,208002.0,104446.5,17.5,182.0,73.0,1908.0
Athletics Men's 10 kilometres Walk,Summer,M,Bronze,58409.5,29714.5,20.0,181.0,71.0,1932.0
Athletics Men's 10 mile Walk,Summer,M,Bronze,226372.0,113772.0,26.0,165.0,53.0,1908.0
"Athletics Men's 10,000 metres",Summer,M,Bronze,120913.0,61167.5,26.0,172.0,61.5,1970.0
Athletics Men's 100 metres,Summer,M,Bronze,123309.0,62246.5,23.5,178.0,73.0,1966.0
Athletics Men's 110 metres Hurdles,Summer,M,Bronze,103046.0,52133.0,23.5,185.5,78.0,1966.0
"Athletics Men's 2,590 metres Steeplechase",Summer,M,Bronze,170346.0,85594.0,21.0,160.0,51.0,1904.0
Athletics Men's 20 kilometres Walk,Summer,M,Bronze,104673.0,52969.0,27.0,182.5,68.0,1986.0
Athletics Men's 200 metres,Summer,M,Bronze,107175.0,54164.0,22.0,180.0,73.0,1968.0
Athletics Men's 200 metres Hurdles,Summer,M,Bronze,238170.0,119439.0,24.0,183.0,64.0,1900.0
"Athletics Men's 3 mile, Team",Summer,M,Bronze,26947.0,14010.0,19.0,172.0,70.0,1908.0
"Athletics Men's 3,000 metres Steeplechase",Summer,M,Bronze,132113.5,66491.0,24.0,178.0,65.5,1978.0
"Athletics Men's 3,000 metres Walk",Summer,M,Bronze,198881.0,99887.0,36.0,178.0,68.0,1920.0
"Athletics Men's 3,000 metres, Team",Summer,M,Bronze,144091.0,72314.0,23.0,172.0,61.0,1920.0
"Athletics Men's 3,200 metres Steeplechase",Summer,M,Bronze,62034.0,31759.0,24.0,180.0,69.0,1908.0
"Athletics Men's 3,500 metres Walk",Summer,M,Bronze,116213.0,58846.0,29.0,184.0,76.0,1908.0
Athletics Men's 4 x 100 metres Relay,Summer,M,Bronze,121752.0,61554.0,24.0,178.0,74.0,1980.0
Athletics Men's 4 x 400 metres Relay,Summer,M,Bronze,136618.0,68695.0,23.0,180.0,73.0,1980.0
Athletics Men's 400 metres,Summer,M,Bronze,116566.0,59022.5,23.0,183.5,76.0,1970.0
Athletics Men's 400 metres Hurdles,Summer,M,Bronze,110114.0,55769.0,25.0,185.0,75.0,1970.0
Athletics Men's 5 mile,Summer,M,Bronze,232970.0,116860.0,26.0,168.0,59.0,1908.0
"Athletics Men's 5,000 metres",Summer,M,Bronze,136240.0,68525.0,25.0,174.0,62.0,1972.0
Athletics Men's 50 kilometres Walk,Summer,M,Bronze,172363.0,86600.0,30.0,178.0,63.0,1984.0
Athletics Men's 56-pound Weight Throw,Summer,M,Bronze,149827.5,75211.5,38.0,181.5,101.0,1912.0
Athletics Men's 60 metres,Summer,M,Bronze,184855.5,92820.5,25.5,176.5,70.5,1902.0
Athletics Men's 800 metres,Summer,M,Bronze,100238.5,50736.0,24.0,178.0,67.0,1970.0
Athletics Men's All-Around Championship,Summer,M,Bronze,90848.0,46029.0,25.0,185.0,90.0,1904.0
"Athletics Men's Cross-Country, Individual",Summer,M,Bronze,109513.0,55365.0,26.0,170.0,59.0,1920.0
"Athletics Men's Cross-Country, Team",Summer,M,Bronze,94207.0,47711.5,23.5,169.5,61.5,1920.0
Athletics Men's Decathlon,Summer,M,Bronze,129905.0,65402.0,24.0,185.0,83.0,1972.0
Athletics Men's Discus Throw,Summer,M,Bronze,106826.0,54001.0,26.0,190.0,109.0,1964.0
"Athletics Men's Discus Throw, Both Hands",Summer,M,Bronze,146385.0,73462.0,24.0,186.0,85.0,1912.0
"Athletics Men's Discus Throw, Greek Style",Summer,M,Bronze,106727.0,53966.0,38.0,182.0,95.0,1908.0
Athletics Men's Hammer Throw,Summer,M,Bronze,167923.0,84379.5,27.5,187.5,107.5,1970.0
Athletics Men's High Jump,Summer,M,Bronze,116237.0,58857.0,22.0,191.0,75.0,1980.0
Athletics Men's Javelin Throw,Summer,M,Bronze,173352.5,87089.0,26.0,185.5,91.0,1970.0
"Athletics Men's Javelin Throw, Both Hands",Summer,M,Bronze,184883.0,92918.0,19.0,178.0,73.0,1912.0
"Athletics Men's Javelin Throw, Freestyle",Summer,M,Bronze,156724.5,78926.0,22.0,178.0,79.0,1907.0
Athletics Men's Long Jump,Summer,M,Bronze,87164.5,44237.0,24.5,182.0,71.5,1966.0
Athletics Men's Marathon,Summer,M,Bronze,151326.0,75950.0,27.0,171.0,60.0,1968.0
Athletics Men's Pentathlon,Summer,M,Bronze,133398.5,67132.0,27.0,186.0,83.0,1922.0
Athletics Men's Pentathlon (Ancient),Summer,M,Bronze,136506.0,68647.0,26.0,190.0,88.0,1906.0
Athletics Men's Pole Vault,Summer,M,Bronze,160390.5,80536.0,24.0,182.5,75.0,1966.0
Athletics Men's Shot Put,Summer,M,Bronze,91459.0,46348.0,25.0,189.5,119.0,1966.0
"Athletics Men's Shot Put, Both Hands",Summer,M,Bronze,171608.0,86233.0,22.0,185.0,79.0,1912.0
Athletics Men's Standing High Jump,Summer,M,Bronze,223028.0,111833.0,21.5,186.0,74.5,1908.0
Athletics Men's Standing Long Jump,Summer,M,Bronze,201834.0,101364.0,22.0,188.0,78.0,1908.0
Athletics Men's Standing Triple Jump,Summer,M,Bronze,76566.0,38860.0,24.0,188.0,81.0,1900.0
Athletics Men's Stone Throw,Summer,M,Bronze,57601.0,29499.0,20.0,177.0,106.0,1906.0
Athletics Men's Triple Jump,Summer,M,Bronze,126213.5,63660.0,26.0,184.0,76.5,1970.0
Badminton Men's Doubles,Summer,M,Bronze,126704.0,63913.5,25.5,178.0,73.0,2002.0
Badminton Men's Singles,Summer,M,Bronze,174181.0,87572.5,22.0,179.5,71.5,2002.0
Badminton Mixed Doubles,Summer,M,Bronze,116613.0,58759.5,27.0,185.5,79.0,2006.0
Baseball Men's Baseball,Summer,M,Bronze,129435.0,65156.0,25.0,182.0,85.0,2000.0
Basketball Men's Basketball,Summer,M,Bronze,149217.5,74848.0,24.0,197.0,94.0,1988.0
Beach Volleyball Men's Beach Volleyball,Summer,M,Bronze,94248.0,47727.0,28.5,190.0,89.0,2006.0
Biathlon Men's 10 kilometres Sprint,Winter,M,Bronze,105040.0,53171.0,28.0,181.0,72.0,1998.0
