Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Aeronautics Mixed Aeronautics,Summer,M,Gold,214105.0,107506.0,26.0,,,1936.0
Alpine Skiing Men's Combined,Winter,M,Gold,182856.5,91883.5,26.0,178.5,81.5,1996.0
Alpine Skiing Men's Downhill,Winter,M,Gold,169465.5,85105.0,23.5,183.0,85.5,1982.0
Alpine Skiing Men's Giant Slalom,Winter,M,Gold,146723.0,73643.0,24.0,180.0,79.0,1984.0
Alpine Skiing Men's Slalom,Winter,M,Gold,196899.5,98867.5,24.5,180.0,82.0,1982.0
Alpine Skiing Men's Super G,Winter,M,Gold,126528.0,63718.5,27.5,180.0,85.0,2000.0
Alpinism Mixed Alpinism,Summer,M,Gold,213142.0,107029.0,27.0,,,1932.0
Alpinism Mixed Alpinism,Winter,M,Gold,173124.0,87013.0,38.0,,,1924.0
"Archery Men's Au Chapelet, 33 metres",Summer,M,Gold,249066.0,124694.0,34.0,,,1900.0
"Archery Men's Au Chapelet, 50 metres",Summer,M,Gold,164459.0,82573.0,47.0,,,1900.0
"Archery Men's Au Cordon Dore, 33 metres",Summer,M,Gold,249068.0,124694.0,34.0,,,1900.0
"Archery Men's Au Cordon Dore, 50 metres",Summer,M,Gold,95035.0,48121.0,24.0,,,1900.0
Archery Men's Championnat Du Monde,Summer,M,Gold,95036.0,48121.0,24.0,,,1900.0
Archery Men's Continental Style,Summer,M,Gold,84814.0,43038.0,41.0,,,1908.0
Archery Men's Double American Round,Summer,M,Gold,30850.0,15893.0,26.0,,,1904.0
Archery Men's Double York Round,Summer,M,Gold,43769.0,22466.5,33.0,,,1906.0
Archery Men's Individual,Summer,M,Gold,151760.5,76363.0,22.0,179.0,72.0,1994.0
"Archery Men's Pole Archery, Large Birds, Individual",Summer,M,Gold,42771.0,22068.0,,,,1920.0
"Archery Men's Pole Archery, Large Birds, Team",Summer,M,Gold,171473.0,86102.5,,,,1920.0
"Archery Men's Pole Archery, Small Birds, Individual",Summer,M,Gold,249245.0,124789.0,,,,1920.0
"Archery Men's Pole Archery, Small Birds, Team",Summer,M,Gold,171472.0,86102.5,,,,1920.0
Archery Men's Sur La Perche a La Herse,Summer,M,Gold,71713.0,36505.0,28.0,,,1900.0
Archery Men's Sur La Perche a La Pyramide,Summer,M,Gold,85434.0,43310.0,38.0,,,1900.0
"Archery Men's Target Archery, 28 metres, Individual",Summer,M,Gold,249071.0,124694.0,54.0,,,1920.0
"Archery Men's Target Archery, 28 metres, Team",Summer,M,Gold,248487.5,124406.0,36.5,,,1920.0
"Archery Men's Target Archery, 33 metres, Individual",Summer,M,Gold,249072.0,124694.0,54.0,,,1920.0
"Archery Men's Target Archery, 33 metres, Team",Summer,M,Gold,61034.0,31215.0,44.0,,,1920.0
"Archery Men's Target Archery, 50 metres, Individual",Summer,M,Gold,30491.0,15721.0,44.0,,,1920.0
"Archery Men's Target Archery, 50 metres, Team",Summer,M,Gold,61035.0,31215.0,44.0,,,1920.0
Archery Men's Team,Summer,M,Gold,123569.5,62400.0,24.0,180.0,78.0,2002.0
Archery Men's Team Round,Summer,M,Gold,232847.0,116867.5,59.5,165.0,,1904.0
Art Competitions Mixed Architecture,Summer,M,Gold,147819.5,74304.0,39.5,,,1912.0
"Art Competitions Mixed Architecture, Architectural Designs",Summer,M,Gold,146012.0,73399.5,40.5,176.0,75.0,1932.0
"Art Competitions Mixed Architecture, Designs For Town Planning",Summer,M,Gold,139620.0,70111.0,42.0,,,1936.0
Art Competitions Mixed Literature,Summer,M,Gold,64253.5,32793.0,33.5,,,1922.0
"Art Competitions Mixed Literature, Epic Works",Summer,M,Gold,157938.0,79282.0,45.0,,,1936.0
