Event,Season,Sex,Medal,sno,ID,Age,Height,Weight,Year
Alpine Skiing Men's Combined,Winter,M,Silver,125003.5,63092.0,25.0,182.0,88.0,2000.0
Alpine Skiing Men's Downhill,Winter,M,Silver,165510.5,83136.0,27.0,181.0,84.0,1990.0
Alpine Skiing Men's Giant Slalom,Winter,M,Silver,94198.5,47731.5,25.5,178.0,77.0,1990.0
Alpine Skiing Men's Slalom,Winter,M,Silver,121353.5,61329.5,25.5,175.5,77.0,1986.0
Alpine Skiing Men's Super G,Winter,M,Silver,134128.0,67545.0,27.5,178.5,87.5,2000.0
Archery Men's Individual,Summer,M,Silver,182058.0,91499.0,26.0,175.0,74.0,1996.0
Archery Men's Team,Summer,M,Silver,109376.0,55369.0,24.0,178.0,75.0,2002.0
"Athletics Men's 1,500 metres",Summer,M,Silver,138980.5,69855.5,24.5,177.5,66.0,1970.0
"Athletics Men's 1,600 metres Medley Relay",Summer,M,Silver,61917.0,31701.0,21.0,175.0,64.0,1908.0
Athletics Men's 10 kilometres Walk,Summer,M,Silver,257749.0,129086.0,38.0,174.0,68.0,1912.0
Athletics Men's 10 mile Walk,Summer,M,Silver,257748.0,129086.0,34.0,174.0,68.0,1908.0
"Athletics Men's 10,000 metres",Summer,M,Silver,159536.0,80066.0,26.0,170.0,60.0,1972.0
Athletics Men's 100 metres,Summer,M,Silver,141902.0,71186.0,24.0,180.0,73.0,1960.0
Athletics Men's 110 metres Hurdles,Summer,M,Silver,71542.0,36424.0,24.0,188.0,79.0,1968.0
"Athletics Men's 2,590 metres Steeplechase",Summer,M,Silver,48618.0,25055.0,24.0,187.0,83.0,1904.0
Athletics Men's 20 kilometres Walk,Summer,M,Silver,137092.5,68920.5,28.0,175.0,64.5,1986.0
Athletics Men's 200 metres,Summer,M,Silver,72621.0,36933.0,23.5,180.0,75.0,1966.0
"Athletics Men's 3 mile, Team",Summer,M,Silver,59618.0,30541.0,24.0,177.0,69.0,1908.0
"Athletics Men's 3,000 metres Steeplechase",Summer,M,Silver,119744.0,60628.0,27.0,176.0,65.0,1976.0
"Athletics Men's 3,000 metres Walk",Summer,M,Silver,165414.0,83083.0,21.0,165.0,52.0,1906.0
"Athletics Men's 3,000 metres, Team",Summer,M,Silver,143394.5,72245.5,23.5,176.0,65.0,1912.0
"Athletics Men's 3,500 metres Walk",Summer,M,Silver,257747.0,129086.0,34.0,174.0,68.0,1908.0
"Athletics Men's 4 mile, Team",Summer,M,Silver,115412.0,58182.0,21.0,170.5,59.0,1904.0
Athletics Men's 4 x 100 metres Relay,Summer,M,Silver,124678.0,62948.0,24.0,179.0,74.0,1976.0
Athletics Men's 4 x 400 metres Relay,Summer,M,Silver,126117.0,63623.0,23.5,183.0,76.0,1980.0
Athletics Men's 400 metres,Summer,M,Silver,105834.0,53542.0,23.0,183.0,71.0,1968.0
Athletics Men's 400 metres Hurdles,Summer,M,Silver,140503.0,70532.0,23.0,183.0,74.0,1968.0
Athletics Men's 5 mile,Summer,M,Silver,206248.0,103536.0,22.5,169.0,60.0,1907.0
"Athletics Men's 5,000 metres",Summer,M,Silver,127828.0,64502.5,25.0,174.5,64.5,1970.0
"Athletics Men's 5,000 metres, Team",Summer,M,Silver,195821.0,98322.0,18.0,166.0,66.0,1900.0
Athletics Men's 50 kilometres Walk,Summer,M,Silver,171904.5,86380.5,28.5,175.5,63.0,1986.0
Athletics Men's 56-pound Weight Throw,Summer,M,Silver,138470.5,69756.5,37.5,183.0,104.0,1912.0
Athletics Men's 60 metres,Summer,M,Silver,238167.0,119439.0,24.0,183.0,64.0,1900.0
Athletics Men's 800 metres,Summer,M,Silver,132290.0,66582.0,24.0,179.0,67.0,1964.0
"Athletics Men's Cross-Country, Individual",Summer,M,Silver,12140.0,6602.0,23.0,172.0,64.0,1920.0
"Athletics Men's Cross-Country, Team",Summer,M,Silver,94063.0,47619.0,25.0,173.0,60.0,1920.0
Athletics Men's Decathlon,Summer,M,Silver,118091.5,59625.5,23.5,187.5,87.5,1970.0
Athletics Men's Discus Throw,Summer,M,Silver,142091.5,71410.0,27.0,193.0,114.5,1966.0
"Athletics Men's Discus Throw, Both Hands",Summer,M,Silver,171610.0,86233.0,22.0,185.0,79.0,1912.0
"Athletics Men's Discus Throw, Greek Style",Summer,M,Silver,88347.5,44775.5,26.5,184.0,87.0,1907.0
Athletics Men's Hammer Throw,Summer,M,Silver,154520.5,77576.0,31.5,186.5,110.0,1966.0
Athletics Men's High Jump,Summer,M,Silver,130226.0,65542.0,22.0,192.0,79.0,1964.0
Athletics Men's Javelin Throw,Summer,M,Silver,182011.0,91464.0,27.0,183.5,88.5,1970.0
"Athletics Men's Javelin Throw, Both Hands",Summer,M,Silver,219754.0,110393.0,25.0,182.0,83.0,1912.0
"Athletics Men's Javelin Throw, Freestyle",Summer,M,Silver,98572.0,49785.5,23.0,178.0,89.0,1907.0
Athletics Men's Long Jump,Summer,M,Silver,141929.0,71202.0,24.0,183.0,74.0,1964.0
Athletics Men's Marathon,Summer,M,Silver,140411.0,70477.0,28.0,173.0,61.0,1976.0
Athletics Men's Pentathlon,Summer,M,Silver,57226.0,29319.0,25.0,178.0,72.0,1920.0
Athletics Men's Pole Vault,Summer,M,Silver,172135.5,86494.0,24.5,183.0,75.0,1970.0
Athletics Men's Shot Put,Summer,M,Silver,112126.0,56651.0,26.0,190.0,118.5,1966.0
"Athletics Men's Shot Put, Both Hands",Summer,M,Silver,154306.0,77472.0,33.0,190.0,120.0,1912.0
Athletics Men's Standing High Jump,Summer,M,Silver,210017.0,105480.5,22.0,188.5,79.5,1907.0
Athletics Men's Standing Long Jump,Summer,M,Silver,218202.0,109597.0,25.0,189.0,81.0,1908.0
Athletics Men's Stone Throw,Summer,M,Silver,218204.0,109597.0,25.0,190.0,88.0,1906.0
Athletics Men's Triple Jump,Summer,M,Silver,76289.0,38712.0,25.0,185.0,78.0,1968.0
Badminton Men's Doubles,Summer,M,Silver,113092.0,57080.0,27.5,180.5,73.0,2004.0
Badminton Men's Singles,Summer,M,Silver,134791.0,67818.0,25.0,170.0,68.0,2004.0
Badminton Mixed Doubles,Summer,M,Silver,192004.5,96466.0,27.5,180.5,70.5,2006.0
Baseball Men's Baseball,Summer,M,Silver,150958.0,75754.0,27.0,182.0,84.0,2000.0
Basketball Men's Basketball,Summer,M,Silver,145761.0,73147.0,25.0,199.0,93.0,1984.0
Beach Volleyball Men's Beach Volleyball,Summer,M,Silver,119707.0,60289.0,28.0,192.5,88.5,2008.0
Biathlon Men's 10 kilometres Sprint,Winter,M,Silver,85062.0,43154.0,24.0,181.0,75.0,1998.0
Biathlon Men's 12.5 kilometres Pursuit,Winter,M,Silver,176812.0,88784.0,30.5,179.5,71.0,2008.0
Biathlon Men's 15 kilometres Mass Start,Winter,M,Silver,71734.0,36512.0,25.0,183.0,73.0,2010.0
Biathlon Men's 20 kilometres,Winter,M,Silver,143546.0,72051.0,26.5,178.0,69.0,1990.0
Biathlon Men's 4 x 7.5 kilometres Relay,Winter,M,Silver,128806.0,64887.5,27.0,179.0,72.5,1993.0
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Winter,M,Silver,194374.5,97633.5,30.0,182.0,69.0,2014.0
Bobsleigh Men's Four,Winter,M,Silver,155955.5,78307.0,28.5,182.0,87.5,1988.0
Bobsleigh Men's Two,Winter,M,Silver,78376.0,39782.0,30.0,183.0,90.0,1984.0
Boxing Men's Bantamweight,Summer,M,Silver,165229.0,82975.0,23.0,165.0,54.0,1984.0
Boxing Men's Featherweight,Summer,M,Silver,123917.0,62601.0,20.0,174.0,57.0,1984.0
Boxing Men's Flyweight,Summer,M,Silver,176281.5,88640.0,23.0,162.0,51.0,1982.0
Boxing Men's Heavyweight,Summer,M,Silver,101072.5,51124.5,26.0,185.0,91.0,1990.0
Boxing Men's Light-Flyweight,Summer,M,Silver,147153.5,73853.0,22.0,160.5,48.0,1990.0
Boxing Men's Light-Heavyweight,Summer,M,Silver,165624.5,83204.5,23.5,183.5,81.0,1986.0
Boxing Men's Light-Middleweight,Summer,M,Silver,110967.0,56141.5,21.0,178.5,71.0,1978.0
Boxing Men's Light-Welterweight,Summer,M,Silver,123420.0,62365.0,23.0,172.0,63.0,1988.0
Boxing Men's Lightweight,Summer,M,Silver,125225.0,63189.0,22.0,171.0,60.0,1988.0
Boxing Men's Middleweight,Summer,M,Silver,120137.0,60803.0,23.0,178.0,75.0,1988.0
Boxing Men's Super-Heavyweight,Summer,M,Silver,55673.0,28529.0,25.0,190.0,99.0,2000.0
Boxing Men's Welterweight,Summer,M,Silver,77679.5,39424.0,23.0,174.0,67.0,1986.0
"Canoeing Men's Canadian Doubles, 1,000 metres",Summer,M,Silver,128053.0,64525.5,25.0,176.0,79.0,1988.0
"Canoeing Men's Canadian Doubles, 500 metres",Summer,M,Silver,155794.0,78362.5,28.5,177.0,79.0,1992.0
"Canoeing Men's Canadian Doubles, Slalom",Summer,M,Silver,164670.0,82822.5,28.0,178.0,76.0,2002.0
"Canoeing Men's Canadian Singles, 1,000 metres",Summer,M,Silver,129299.0,65182.5,25.5,183.0,85.5,1986.0
"Canoeing Men's Canadian Singles, 10,000 metres",Summer,M,Silver,137470.0,69276.0,23.5,185.0,86.0,1952.0
"Canoeing Men's Canadian Singles, 200 metres",Summer,M,Silver,142761.5,71917.5,29.0,194.5,101.0,2014.0
"Canoeing Men's Canadian Singles, 500 metres",Summer,M,Silver,144860.0,72698.0,22.0,183.0,82.0,1992.0
"Canoeing Men's Canadian Singles, Slalom",Summer,M,Silver,150358.5,75433.0,23.5,182.0,74.0,2002.0
"Canoeing Men's Folding Kayak Singles, 10 kilometres",Summer,M,Silver,60959.0,31234.0,22.0,186.0,100.0,1936.0
"Canoeing Men's Kayak Doubles, 1,000 metres",Summer,M,Silver,164727.0,82739.0,27.0,181.0,82.0,1988.0
"Canoeing Men's Kayak Doubles, 10,000 metres",Summer,M,Silver,120883.0,61150.0,32.0,180.0,89.0,1956.0
"Canoeing Men's Kayak Doubles, 200 metres",Summer,M,Silver,167282.0,84025.5,31.0,186.5,86.0,2014.0
"Canoeing Men's Kayak Doubles, 500 metres",Summer,M,Silver,158762.0,79710.0,26.0,186.0,88.5,1992.0
"Canoeing Men's Kayak Fours, 1,000 metres",Summer,M,Silver,165743.0,83240.5,25.0,186.5,86.0,1990.0
Canoeing Men's Kayak Relay 4 x 500 metres,Summer,M,Silver,195891.0,98286.0,19.5,180.0,79.5,1960.0
"Canoeing Men's Kayak Singles, 1,000 metres",Summer,M,Silver,119396.0,60226.0,25.0,183.0,83.0,1986.0
"Canoeing Men's Kayak Singles, 10,000 metres",Summer,M,Silver,167333.0,84020.0,30.5,176.0,73.0,1950.0
"Canoeing Men's Kayak Singles, 200 metres",Summer,M,Silver,31443.0,16396.0,30.5,191.5,96.0,2014.0
"Canoeing Men's Kayak Singles, 500 metres",Summer,M,Silver,160881.0,80736.0,26.0,185.0,88.0,1992.0
"Canoeing Men's Kayak Singles, Slalom",Summer,M,Silver,166527.0,83681.5,25.5,177.0,70.0,2002.0
Cross Country Skiing Men's 10 kilometres,Winter,M,Silver,75408.0,38284.0,31.0,185.0,84.0,1994.0
Cross Country Skiing Men's 10/15 kilometres Pursuit,Winter,M,Silver,234762.5,117718.0,28.5,182.5,79.0,1993.0
Cross Country Skiing Men's 15 kilometres,Winter,M,Silver,114045.0,57770.0,29.0,180.0,72.0,1980.0
Cross Country Skiing Men's 18 kilometres,Winter,M,Silver,147119.0,73837.0,25.0,181.0,70.0,1952.0
Cross Country Skiing Men's 30 kilometres,Winter,M,Silver,136694.5,68830.0,28.0,181.0,76.0,1978.0
Cross Country Skiing Men's 30 km Skiathlon,Winter,M,Silver,65100.0,33312.0,32.0,183.0,75.0,2010.0
Cross Country Skiing Men's 4 x 10 kilometres Relay,Winter,M,Silver,141346.0,71026.5,28.0,180.0,72.0,1984.0
Cross Country Skiing Men's 50 kilometres,Winter,M,Silver,148685.5,74668.0,30.0,177.5,68.0,1982.0
Cross Country Skiing Men's Sprint,Winter,M,Silver,184125.5,92547.5,23.5,183.5,78.5,2008.0
Cross Country Skiing Men's Team Sprint,Winter,M,Silver,235174.0,117956.5,29.5,183.0,74.5,2010.0
Curling Men's Curling,Winter,M,Silver,150639.0,75588.0,31.0,180.0,85.0,2002.0
"Cycling Men's 1,000 metres Time Trial",Summer,M,Silver,143831.0,72514.0,20.5,181.0,79.0,1982.0
Cycling Men's 100 kilometres Team Time Trial,Summer,M,Silver,143152.5,71841.5,23.5,180.0,75.0,1976.0
"Cycling Men's 5,000 metres",Summer,M,Silver,212860.0,106878.0,20.0,188.0,83.0,1908.0
Cycling Men's BMX,Summer,M,Silver,248920.0,124622.0,23.0,187.0,93.0,2012.0
"Cycling Men's Individual Pursuit, 4,000 metres",Summer,M,Silver,135888.0,68371.0,23.5,183.0,76.0,1986.0
Cycling Men's Individual Time Trial,Summer,M,Silver,141812.5,71263.0,26.5,184.5,71.5,2006.0
Cycling Men's Keirin,Summer,M,Silver,64786.0,33142.0,25.0,179.0,87.0,2008.0
Cycling Men's Madison,Summer,M,Silver,146265.5,73409.0,34.5,179.0,69.5,2004.0
"Cycling Men's Mountainbike, Cross-Country",Summer,M,Silver,142361.5,71560.5,27.5,173.5,68.5,2006.0
Cycling Men's Omnium,Summer,M,Silver,40945.5,21078.0,25.5,172.0,64.0,2014.0
Cycling Men's Points Race,Summer,M,Silver,184494.0,92724.0,22.0,177.0,68.0,1996.0
"Cycling Men's Road Race, Individual",Summer,M,Silver,157425.5,79001.5,24.5,179.5,69.5,1986.0
"Cycling Men's Road Race, Team",Summer,M,Silver,97792.0,49485.0,20.0,175.0,69.0,1956.0
Cycling Men's Sprint,Summer,M,Silver,125856.0,63490.0,25.0,180.0,80.0,1980.0
"Cycling Men's Tandem Sprint, 2,000 metres",Summer,M,Silver,141516.0,71002.0,23.0,176.0,75.0,1964.0
"Cycling Men's Team Pursuit, 4,000 metres",Summer,M,Silver,149908.0,75178.0,23.0,180.0,75.0,1988.0
Cycling Men's Team Sprint,Summer,M,Silver,124417.0,62648.0,25.0,181.0,86.0,2008.0
Diving Men's Plain High,Summer,M,Silver,109148.0,55200.0,38.0,170.0,76.0,1912.0
Diving Men's Platform,Summer,M,Silver,131067.0,66030.5,21.5,170.5,62.0,1986.0
Diving Men's Springboard,Summer,M,Silver,89910.0,45573.0,23.5,170.0,65.0,1986.0
Diving Men's Synchronized Platform,Summer,M,Silver,115280.5,58299.0,20.5,172.5,68.0,2008.0
Diving Men's Synchronized Springboard,Summer,M,Silver,170672.0,85785.5,23.0,174.0,66.5,2008.0
"Equestrianism Men's Jumping, Team",Summer,M,Silver,161058.5,81001.5,31.5,171.5,69.0,1928.0
"Equestrianism Men's Three-Day Event, Individual",Summer,M,Silver,134656.0,67768.0,29.5,172.5,73.0,1956.0
"Equestrianism Men's Three-Day Event, Team",Summer,M,Silver,136398.0,68595.0,35.0,177.0,75.0,1956.0
"Equestrianism Mixed Dressage, Individual",Summer,M,Silver,69702.0,35512.0,44.0,183.0,72.0,1968.0
"Equestrianism Mixed Dressage, Team",Summer,M,Silver,120488.0,60976.0,40.0,178.0,75.0,1984.0
