NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
FIN,Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,Winter,2014,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
FIN,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Summer,1948,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
FIN,Paavo Johannes Aaltonen,M,32.0,175.0,64.0,Summer,1952,Gymnastics,Gymnastics Men's Team All-Around,Bronze
NOR,Kjetil Andr Aamodt,M,20.0,176.0,85.0,Winter,1992,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
NOR,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Winter,1994,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
ITA,Giovanni Abagnale,M,21.0,198.0,90.0,Summer,2016,Rowing,Rowing Men's Coxless Pairs,Bronze
ESP,Jos Luis Abajo Gmez,M,30.0,194.0,87.0,Summer,2008,Fencing,"Fencing Men's epee, Individual",Bronze
ESP,Jos Manuel Abascal Gmez,M,26.0,182.0,67.0,Summer,1984,Athletics,"Athletics Men's 1,500 metres",Bronze
AUS,"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,Summer,2008,Hockey,Hockey Men's Hockey,Bronze
USA,Jeremy Abbott,M,28.0,175.0,70.0,Winter,2014,Figure Skating,Figure Skating Mixed Team,Bronze
IRI,Saeid Morad Abdevali,M,26.0,170.0,80.0,Summer,2016,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
ETH,Addis Abebe,M,21.0,160.0,50.0,Summer,1992,Athletics,"Athletics Men's 10,000 metres",Bronze
SWE,Nils Georg berg,M,19.0,181.0,78.0,Summer,1912,Athletics,Athletics Men's Long Jump,Bronze
RUS,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Summer,2012,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
RUS,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Summer,2016,Gymnastics,Gymnastics Men's Rings,Bronze
URS,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Summer,1972,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
AUS,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Summer,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
HUN,Attila brahm,M,21.0,192.0,88.0,Summer,1988,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
GBR,Gary Abraham,M,21.0,175.0,64.0,Summer,1980,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
SWE,Erik Adolf Efraim Abrahamsson,M,22.0,172.0,61.0,Summer,1920,Athletics,Athletics Men's Long Jump,Bronze
RUS,Pavel Sergeyevich Abramov,M,25.0,198.0,89.0,Summer,2004,Volleyball,Volleyball Men's Volleyball,Bronze
ESP,"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,Summer,2016,Basketball,Basketball Men's Basketball,Bronze
URS,Aleksandr Veniaminovich Abushakhmetov,M,25.0,189.0,81.0,Summer,1980,Fencing,"Fencing Men's epee, Team",Bronze
SUI,Paul Accola,M,20.0,176.0,82.0,Winter,1988,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
PUR,Anibl Santiago Acevedo,M,21.0,176.0,67.0,Summer,1992,Boxing,Boxing Men's Welterweight,Bronze
GHA,Joachim Yaw Acheampong,M,18.0,181.0,73.0,Summer,1992,Football,Football Men's Football,Bronze
MAR,Abdel Hak Achik,M,29.0,165.0,54.0,Summer,1988,Boxing,Boxing Men's Featherweight,Bronze
MAR,Mohamed Abdelhak Achik,M,27.0,174.0,57.0,Summer,1992,Boxing,Boxing Men's Bantamweight,Bronze
SUI,Donat Acklin,M,26.0,190.0,99.0,Winter,1992,Bobsleigh,Bobsleigh Men's Four,Bronze
CUB,Osmay Acosta Duarte,M,23.0,188.0,91.0,Summer,2008,Boxing,Boxing Men's Heavyweight,Bronze
POL,Kazimierz Piotr Adach,M,23.0,162.0,60.0,Summer,1980,Boxing,Boxing Men's Lightweight,Bronze
USA,"Benjamin Willard ""Ben"" Adams",M,22.0,188.0,78.0,Summer,1912,Athletics,Athletics Men's Standing Long Jump,Bronze
GHA,Simon Addo,M,17.0,180.0,79.0,Summer,1992,Football,Football Men's Football,Bronze
FRA,Franck Adisson,M,23.0,180.0,70.0,Summer,1992,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
LTU,Dainius Adomaitis,M,26.0,202.0,100.0,Summer,2000,Basketball,Basketball Men's Basketball,Bronze
USA,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,Summer,2016,Swimming,Swimming Men's 50 metres Freestyle,Bronze
USA,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,Summer,2016,Swimming,Swimming Men's 100 metres Freestyle,Bronze
RUS,Maksim Sergeyevich Afinogenov,M,22.0,183.0,88.0,Winter,2002,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
RSA,Cecil Sebastian Afrika,M,28.0,175.0,75.0,Summer,2016,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
RSA,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27.0,193.0,104.0,Summer,2016,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
ITA,Luca Agamennoni,M,24.0,187.0,93.0,Summer,2004,Rowing,Rowing Men's Coxless Fours,Bronze
URS,Viktor Ivanovich Ageyev,M,20.0,184.0,80.0,Summer,1956,Water Polo,Water Polo Men's Water Polo,Bronze
URS,Viktor Ivanovich Ageyev,M,28.0,184.0,80.0,Summer,1964,Water Polo,Water Polo Men's Water Polo,Bronze
CUB,Jos Aguilar Pulsn,M,20.0,173.0,64.0,Summer,1980,Boxing,Boxing Men's Light-Welterweight,Bronze
CUB,Jorge Luis Aguilera Ruiz,M,26.0,172.0,64.0,Summer,1992,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
FIN,Bruno Valfrid Ahlberg,M,21.0,168.0,69.5,Summer,1932,Boxing,Boxing Men's Welterweight,Bronze
