NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
FIN,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Summer,1948,Gymnastics,Gymnastics Men's Team All-Around,Gold
FIN,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Summer,1948,Gymnastics,Gymnastics Men's Horse Vault,Gold
FIN,Paavo Johannes Aaltonen,M,28.0,175.0,64.0,Summer,1948,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
NOR,Kjetil Andr Aamodt,M,20.0,176.0,85.0,Winter,1992,Alpine Skiing,Alpine Skiing Men's Super G,Gold
NOR,Kjetil Andr Aamodt,M,30.0,176.0,85.0,Winter,2002,Alpine Skiing,Alpine Skiing Men's Super G,Gold
NOR,Kjetil Andr Aamodt,M,30.0,176.0,85.0,Winter,2002,Alpine Skiing,Alpine Skiing Men's Combined,Gold
NOR,Kjetil Andr Aamodt,M,34.0,176.0,85.0,Winter,2006,Alpine Skiing,Alpine Skiing Men's Super G,Gold
BLR,Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,Summer,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
FRA,Luc Abalo,M,23.0,182.0,86.0,Summer,2008,Handball,Handball Men's Handball,Gold
FRA,Luc Abalo,M,27.0,182.0,86.0,Summer,2012,Handball,Handball Men's Handball,Gold
CMR,Jouan Patrice Abanda Etong,M,22.0,185.0,82.0,Summer,2000,Football,Football Men's Football,Gold
ESP,Jos Mara Abarca Plotas,M,22.0,186.0,83.0,Summer,1996,Water Polo,Water Polo Men's Water Polo,Gold
ESP,Alejandro Abascal Garca,M,28.0,181.0,82.0,Summer,1980,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
FRA,Jol Marc Abati,M,38.0,190.0,85.0,Summer,2008,Handball,Handball Men's Handball,Gold
ITA,Agostino Abbagnale,M,22.0,188.0,96.0,Summer,1988,Rowing,Rowing Men's Quadruple Sculls,Gold
ITA,Agostino Abbagnale,M,29.0,188.0,96.0,Summer,1996,Rowing,Rowing Men's Double Sculls,Gold
ITA,Agostino Abbagnale,M,34.0,188.0,96.0,Summer,2000,Rowing,Rowing Men's Quadruple Sculls,Gold
ITA,Carmine Abbagnale,M,22.0,182.0,90.0,Summer,1984,Rowing,Rowing Men's Coxed Pairs,Gold
ITA,Carmine Abbagnale,M,26.0,182.0,90.0,Summer,1988,Rowing,Rowing Men's Coxed Pairs,Gold
ITA,Giuseppe Abbagnale,M,25.0,187.0,97.0,Summer,1984,Rowing,Rowing Men's Coxed Pairs,Gold
ITA,Giuseppe Abbagnale,M,29.0,187.0,97.0,Summer,1988,Rowing,Rowing Men's Coxed Pairs,Gold
PAK,Lala Abdul Rashid,M,38.0,169.0,91.0,Summer,1960,Hockey,Hockey Men's Hockey,Gold
URS,Zagalav Abdulbekovich Abdulbekov,M,26.0,160.0,62.0,Summer,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
UZB,Mukhammad Kadyr Abdullayev,M,26.0,169.0,63.0,Summer,2000,Boxing,Boxing Men's Light-Welterweight,Gold
AZE,Namiq Yadulla Abdullayev,M,29.0,167.0,55.0,Summer,2000,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
USA,Julius Shareef Abdur-Rahim,M,23.0,202.0,104.0,Summer,2000,Basketball,Basketball Men's Basketball,Gold
EUN,Andrey Khakimovich Abduvaliyev,M,26.0,190.0,125.0,Summer,1992,Athletics,Athletics Men's Hammer Throw,Gold
JPN,Masashi Abe,M,28.0,175.0,64.0,Winter,1994,Nordic Combined,Nordic Combined Men's Team,Gold
ETH,Gezahgne Abera,M,22.0,166.0,58.0,Summer,2000,Athletics,Athletics Men's Marathon,Gold
USA,Michael Brent Abernathy,M,22.0,182.0,84.0,Summer,2000,Baseball,Baseball Men's Baseball,Gold
BUL,Ismail Abilov (-Nizamolu),M,29.0,172.0,82.0,Summer,1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
USA,"Edgar Allen ""Ed"" Ablowich",M,19.0,182.0,68.0,Summer,1932,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
HUN,Attila brahm,M,21.0,192.0,88.0,Summer,1988,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
GBR,Harold Maurice Abrahams,M,24.0,183.0,75.0,Summer,1924,Athletics,Athletics Men's 100 metres,Gold
URS,Saypulla Atavovich Absaidov,M,22.0,168.0,68.0,Summer,1980,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
FRA,Julien Absalon,M,23.0,180.0,68.0,Summer,2004,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
FRA,Julien Absalon,M,27.0,180.0,68.0,Summer,2008,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
JOR,Ahmad Abughaush,M,20.0,178.0,68.0,Summer,2016,Taekwondo,Taekwondo Men's Featherweight,Gold
URS,Magomedgasan Mingazhutdinovich Abushev,M,20.0,170.0,62.0,Summer,1980,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
FRA,William Accambray,M,24.0,194.0,104.0,Summer,2012,Handball,Handball Men's Handball,Gold
NZL,Paul Douglas Ackerley,M,27.0,179.0,68.0,Summer,1976,Hockey,Hockey Men's Hockey,Gold
SUI,Donat Acklin,M,26.0,190.0,99.0,Winter,1992,Bobsleigh,Bobsleigh Men's Two,Gold
SUI,Donat Acklin,M,28.0,190.0,99.0,Winter,1994,Bobsleigh,Bobsleigh Men's Two,Gold
ARG,Lautaro Germn Acosta,M,20.0,168.0,72.0,Summer,2008,Football,Football Men's Football,Gold
CAN,"Michael B. ""Mike"" Adam",M,24.0,175.0,95.0,Winter,2006,Curling,Curling Men's Curling,Gold
USA,Platt Adams,M,27.0,188.0,78.0,Summer,1912,Athletics,Athletics Men's Standing High Jump,Gold
GER,Filip Kamil Adamski,M,29.0,189.0,87.0,Summer,2012,Rowing,Rowing Men's Coxed Eights,Gold
FRA,Franck Adisson,M,26.0,180.0,70.0,Summer,1996,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
USA,Derrick Ralph Adkins,M,26.0,188.0,80.0,Summer,1996,Athletics,Athletics Men's 400 metres Hurdles,Gold
USA,Nathan Ghar-Jun Adrian,M,19.0,198.0,100.0,Summer,2008,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
USA,Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,Summer,2012,Swimming,Swimming Men's 100 metres Freestyle,Gold
USA,Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,Summer,2012,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
USA,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,Summer,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
USA,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,Summer,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
USA,Andre Kirk Agassi,M,26.0,180.0,80.0,Summer,1996,Tennis,Tennis Men's Singles,Gold
FRA,Yannick Agnel,M,20.0,202.0,90.0,Summer,2012,Swimming,Swimming Men's 200 metres Freestyle,Gold
FRA,Yannick Agnel,M,20.0,202.0,90.0,Summer,2012,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
ARG,Sergio Leonel Agero del Castillo,M,20.0,172.0,74.0,Summer,2008,Football,Football Men's Football,Gold
GBR,"Timothy Joseph ""Tim"" Ahearne",M,22.0,170.0,57.0,Summer,1908,Athletics,Athletics Men's Triple Jump,Gold
INA,Tontowi Ahmad,M,29.0,179.0,72.0,Summer,2016,Badminton,Badminton Mixed Doubles,Gold
SWE,Arne Per hman,M,23.0,176.0,64.0,Summer,1948,Athletics,Athletics Men's Triple Jump,Gold
