NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
NOR,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Winter,1994,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
NOR,Kjetil Andr Aamodt,M,22.0,176.0,85.0,Winter,1994,Alpine Skiing,Alpine Skiing Men's Combined,Silver
NED,Pepijn Aardewijn,M,26.0,189.0,72.0,Summer,1996,Rowing,Rowing Men's Lightweight Double Sculls,Silver
FRA,Luc Abalo,M,31.0,182.0,86.0,Summer,2016,Handball,Handball Men's Handball,Silver
USA,Stephen Anthony Abas,M,26.0,165.0,55.0,Summer,2004,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
HUN,Pter Abay,M,30.0,181.0,79.0,Summer,1992,Fencing,"Fencing Men's Sabre, Team",Silver
ITA,Carmine Abbagnale,M,30.0,182.0,90.0,Summer,1992,Rowing,Rowing Men's Coxed Pairs,Silver
ITA,Giuseppe Abbagnale,M,33.0,187.0,97.0,Summer,1992,Rowing,Rowing Men's Coxed Pairs,Silver
PAK,Muhammad Abdul Rashid,M,23.0,181.0,72.0,Summer,1964,Hockey,Hockey Men's Hockey,Silver
AZE,Namiq Yadulla Abdullayev,M,25.0,167.0,55.0,Summer,1996,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
TJK,Yusup Abdusalomov,M,30.0,170.0,84.0,Summer,2008,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
USA,Clarence John Abel,M,23.0,185.0,102.0,Winter,1924,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
SWE,Nils Georg berg,M,19.0,181.0,78.0,Summer,1912,Athletics,Athletics Men's Triple Jump,Silver
RUS,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,Summer,2012,Gymnastics,Gymnastics Men's Horse Vault,Silver
RUS,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Summer,2016,Gymnastics,Gymnastics Men's Team All-Around,Silver
RUS,Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,Summer,2016,Gymnastics,Gymnastics Men's Horse Vault,Silver
