Event,Sport,Year,Country,NOC,Sex,Medal,sno,ID,Age,Height,Weight
Alpine Skiing Women's Combined,Alpine Skiing,1988,Austria,AUT,F,Gold,255252.0,127789.0,21.0,164.0,50.0
Alpine Skiing Women's Combined,Alpine Skiing,1992,Austria,AUT,F,Gold,127479.0,64253.0,22.0,170.0,62.0
Alpine Skiing Women's Combined,Alpine Skiing,1994,Sweden,SWE,F,Gold,259943.0,130127.0,23.0,161.0,68.0
Alpine Skiing Women's Combined,Alpine Skiing,1998,Germany,GER,F,Gold,215865.0,108374.0,25.0,171.0,64.0
Alpine Skiing Women's Combined,Alpine Skiing,2002,Croatia,CRO,F,Gold,125019.0,63093.0,20.0,175.0,76.0
Alpine Skiing Women's Combined,Alpine Skiing,2006,Croatia,CRO,F,Gold,125022.0,63093.0,24.0,175.0,76.0
Alpine Skiing Women's Combined,Alpine Skiing,2010,Germany,GER,F,Gold,97167.0,49178.0,25.0,182.0,78.0
Alpine Skiing Women's Combined,Alpine Skiing,2014,Germany,GER,F,Gold,97171.0,49178.0,29.0,182.0,78.0
Alpine Skiing Women's Downhill,Alpine Skiing,1960,Germany,GER,F,Gold,21476.0,11343.0,19.0,159.0,56.0
Alpine Skiing Women's Downhill,Alpine Skiing,1964,Austria,AUT,F,Gold,87713.0,44461.0,20.0,177.0,70.0
Alpine Skiing Women's Downhill,Alpine Skiing,1968,Austria,AUT,F,Gold,180652.0,90792.0,20.0,170.0,69.0
Alpine Skiing Women's Downhill,Alpine Skiing,1972,Switzerland,SUI,F,Gold,167269.0,84028.0,17.0,165.0,64.0
Alpine Skiing Women's Downhill,Alpine Skiing,1976,Germany,FRG,F,Gold,160476.0,80515.0,25.0,159.0,55.0
Alpine Skiing Women's Downhill,Alpine Skiing,1980,Austria,AUT,F,Gold,164183.0,82412.0,26.0,170.0,59.0
Alpine Skiing Women's Downhill,Alpine Skiing,1984,Switzerland,SUI,F,Gold,69056.0,35218.0,17.0,168.0,61.0
Alpine Skiing Women's Downhill,Alpine Skiing,1988,Germany,FRG,F,Gold,117780.0,59602.0,23.0,164.0,62.0
Alpine Skiing Women's Downhill,Alpine Skiing,1992,Canada,CAN,F,Gold,135593.0,68224.0,25.0,171.0,63.0
Alpine Skiing Women's Downhill,Alpine Skiing,1994,Germany,GER,F,Gold,215858.0,108374.0,21.0,171.0,64.0
Alpine Skiing Women's Downhill,Alpine Skiing,1998,Germany,GER,F,Gold,215862.0,108374.0,25.0,171.0,64.0
Alpine Skiing Women's Downhill,Alpine Skiing,2002,France,FRA,F,Gold,162462.0,81568.0,28.0,164.0,73.0
Alpine Skiing Women's Downhill,Alpine Skiing,2006,Austria,AUT,F,Gold,57567.0,29485.0,32.0,172.0,72.0
Alpine Skiing Women's Downhill,Alpine Skiing,2010,USA,USA,F,Gold,118013.0,59711.0,25.0,178.0,75.0
Alpine Skiing Women's Downhill,Alpine Skiing,2014,Slovenia,SLO,F,Gold,153583.0,77079.0,30.0,172.0,68.0
Alpine Skiing Women's Downhill,Alpine Skiing,2014,Switzerland,SUI,F,Gold,79959.0,40586.0,28.0,172.0,68.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1952,USA,USA,F,Gold,155335.0,77984.0,19.0,173.0,59.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1964,France,FRA,F,Gold,80898.0,41081.0,18.0,169.0,64.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1968,Canada,CAN,F,Gold,83963.0,42670.0,24.0,160.0,62.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1972,Switzerland,SUI,F,Gold,167270.0,84028.0,17.0,165.0,64.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1976,Canada,CAN,F,Gold,126823.0,63943.0,18.0,173.0,59.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1980,Liechtenstein,LIE,F,Gold,259005.0,129665.0,23.0,165.0,57.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1984,USA,USA,F,Gold,9390.0,5156.0,20.0,165.0,62.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1988,Switzerland,SUI,F,Gold,213662.0,107297.0,23.0,170.0,68.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1992,Sweden,SWE,F,Gold,259937.0,130127.0,21.0,161.0,68.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1994,Italy,ITA,F,Gold,43845.0,22598.0,23.0,165.0,62.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,1998,Italy,ITA,F,Gold,43847.0,22598.0,27.0,165.0,62.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,2002,Croatia,CRO,F,Gold,125017.0,63093.0,20.0,175.0,76.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,2006,USA,USA,F,Gold,148105.0,74318.0,21.0,168.0,64.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,2010,Germany,GER,F,Gold,197967.0,99394.0,20.0,170.0,67.0
Alpine Skiing Women's Giant Slalom,Alpine Skiing,2014,Slovenia,SLO,F,Gold,153585.0,77079.0,30.0,172.0,68.0
Alpine Skiing Women's Slalom,Alpine Skiing,1948,USA,USA,F,Gold,72433.0,36846.0,28.0,163.0,53.0
Alpine Skiing Women's Slalom,Alpine Skiing,1952,USA,USA,F,Gold,155336.0,77984.0,19.0,173.0,59.0
Alpine Skiing Women's Slalom,Alpine Skiing,1960,Canada,CAN,F,Gold,93134.0,47165.0,21.0,160.0,51.0
Alpine Skiing Women's Slalom,Alpine Skiing,1964,France,FRA,F,Gold,80896.0,41080.0,19.0,172.0,62.0
Alpine Skiing Women's Slalom,Alpine Skiing,1968,France,FRA,F,Gold,80902.0,41081.0,22.0,169.0,64.0
Alpine Skiing Women's Slalom,Alpine Skiing,1972,USA,USA,F,Gold,42952.0,22154.0,21.0,154.0,50.0
Alpine Skiing Women's Slalom,Alpine Skiing,1976,Germany,FRG,F,Gold,160478.0,80515.0,25.0,159.0,55.0
Alpine Skiing Women's Slalom,Alpine Skiing,1980,Liechtenstein,LIE,F,Gold,259006.0,129665.0,23.0,165.0,57.0
Alpine Skiing Women's Slalom,Alpine Skiing,1984,Italy,ITA,F,Gold,146425.0,73481.0,19.0,159.0,52.0
Alpine Skiing Women's Slalom,Alpine Skiing,1988,Switzerland,SUI,F,Gold,213663.0,107297.0,23.0,170.0,68.0
Alpine Skiing Women's Slalom,Alpine Skiing,1992,Austria,AUT,F,Gold,127478.0,64253.0,22.0,170.0,62.0
Alpine Skiing Women's Slalom,Alpine Skiing,1994,Switzerland,SUI,F,Gold,213669.0,107297.0,29.0,170.0,68.0
Alpine Skiing Women's Slalom,Alpine Skiing,1998,Germany,GER,F,Gold,78259.0,39730.0,22.0,172.0,70.0
Alpine Skiing Women's Slalom,Alpine Skiing,2002,Croatia,CRO,F,Gold,125018.0,63093.0,20.0,175.0,76.0
Alpine Skiing Women's Slalom,Alpine Skiing,2006,Sweden,SWE,F,Gold,182625.0,91797.0,24.0,170.0,81.0
Alpine Skiing Women's Slalom,Alpine Skiing,2010,Germany,GER,F,Gold,97166.0,49178.0,25.0,182.0,78.0
Alpine Skiing Women's Slalom,Alpine Skiing,2014,USA,USA,F,Gold,218471.0,109730.0,18.0,170.0,64.0
Alpine Skiing Women's Super G,Alpine Skiing,1988,Austria,AUT,F,Gold,262478.0,131328.0,23.0,172.0,67.0
Alpine Skiing Women's Super G,Alpine Skiing,1992,Italy,ITA,F,Gold,43842.0,22598.0,21.0,165.0,62.0
