Event,Sport,Year,Country,NOC,Sex,Medal,sno,ID,Age,Height,Weight
Alpine Skiing Men's Combined,Alpine Skiing,1988,Austria,AUT,M,Gold,230778.0,115823.0,25.0,182.0,76.0
Alpine Skiing Men's Combined,Alpine Skiing,1992,Italy,ITA,M,Gold,190781.0,95831.0,23.0,168.0,70.0
Alpine Skiing Men's Combined,Alpine Skiing,1994,Norway,NOR,M,Gold,120535.0,61001.0,23.0,180.0,88.0
Alpine Skiing Men's Combined,Alpine Skiing,1998,Austria,AUT,M,Gold,198803.0,99847.0,27.0,176.0,78.0
Alpine Skiing Men's Combined,Alpine Skiing,2002,Norway,NOR,M,Gold,76.0,20.0,30.0,176.0,85.0
Alpine Skiing Men's Combined,Alpine Skiing,2006,USA,USA,M,Gold,138927.0,69796.0,21.0,180.0,86.0
Alpine Skiing Men's Combined,Alpine Skiing,2010,USA,USA,M,Gold,159145.0,79875.0,32.0,188.0,91.0
Alpine Skiing Men's Combined,Alpine Skiing,2014,Switzerland,SUI,M,Gold,252745.0,126557.0,28.0,177.0,77.0
Alpine Skiing Men's Downhill,Alpine Skiing,1964,Austria,AUT,M,Gold,269861.0,135021.0,24.0,180.0,80.0
Alpine Skiing Men's Downhill,Alpine Skiing,1968,France,FRA,M,Gold,118087.0,59745.0,24.0,178.0,75.0
Alpine Skiing Men's Downhill,Alpine Skiing,1972,Switzerland,SUI,M,Gold,206456.0,103637.0,23.0,182.0,71.0
Alpine Skiing Men's Downhill,Alpine Skiing,1976,Austria,AUT,M,Gold,120608.0,61035.0,22.0,183.0,79.0
Alpine Skiing Men's Downhill,Alpine Skiing,1980,Austria,AUT,M,Gold,229624.0,115295.0,21.0,183.0,84.0
Alpine Skiing Men's Downhill,Alpine Skiing,1984,USA,USA,M,Gold,109449.0,55336.0,23.0,175.0,77.0
Alpine Skiing Men's Downhill,Alpine Skiing,1988,Switzerland,SUI,M,Gold,270876.0,135465.0,25.0,183.0,83.0
Alpine Skiing Men's Downhill,Alpine Skiing,1992,Austria,AUT,M,Gold,178291.0,89619.0,24.0,189.0,92.0
Alpine Skiing Men's Downhill,Alpine Skiing,1994,USA,USA,M,Gold,161042.0,80815.0,23.0,178.0,89.0
Alpine Skiing Men's Downhill,Alpine Skiing,1998,France,FRA,M,Gold,46074.0,23781.0,31.0,185.0,93.0
Alpine Skiing Men's Downhill,Alpine Skiing,2002,Austria,AUT,M,Gold,230706.0,115801.0,29.0,187.0,95.0
Alpine Skiing Men's Downhill,Alpine Skiing,2006,France,FRA,M,Gold,53727.0,27558.0,29.0,189.0,97.0
Alpine Skiing Men's Downhill,Alpine Skiing,2010,Switzerland,SUI,M,Gold,52513.0,26979.0,32.0,184.0,89.0
